publication_id	original_title	publication_year	publisher	parse_method	recommended_container_title	recommended_volume	recommended_issue	recommended_publication_type	confidence	notes
publication:bencom:d3b98dafbcc97fdc	JCAジャーナル 2016年11月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年11月号	journal_issue	high	
publication:bencom:5701fd18e17da324	JCAジャーナル 2016年12月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年12月号	journal_issue	high	
publication:bencom:4f3c98b335d9af6c	JCAジャーナル 2016年1月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年1月号	journal_issue	high	
publication:bencom:37003f74908ca4a1	JCAジャーナル 2016年2月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年2月号	journal_issue	high	
publication:bencom:dfa02dee4f2f1994	JCAジャーナル 2016年3月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年3月号	journal_issue	high	
publication:bencom:564502625340ecab	JCAジャーナル 2016年4月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年4月号	journal_issue	high	
publication:bencom:8eb9877e9287d7f2	JCAジャーナル 2016年5月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年5月号	journal_issue	high	
publication:bencom:1f5beb43dae6ebe3	JCAジャーナル 2016年6月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年6月号	journal_issue	high	
publication:bencom:bbe2dbf1335f6f6a	JCAジャーナル 2016年7月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年7月号	journal_issue	high	
publication:bencom:8a06b33fe1d12db1	JCAジャーナル 2016年8月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年8月号	journal_issue	high	
publication:bencom:5d5e9a0004fcc61c	JCAジャーナル 2016年9月号	2016	日本商事仲裁協会	monthly_issue	JCAジャーナル		2016年9月号	journal_issue	high	
publication:bencom:200df0d241f9d140	JCAジャーナル 2017年10月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年10月号	journal_issue	high	
publication:bencom:d423aec082c2e1c7	JCAジャーナル 2017年11月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年11月号	journal_issue	high	
publication:bencom:c7e623e7597ce70d	JCAジャーナル 2017年12月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年12月号	journal_issue	high	
publication:bencom:9cd025c7ec1c950e	JCAジャーナル 2017年1月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年1月号	journal_issue	high	
publication:bencom:a029371a456fcef0	JCAジャーナル 2017年2月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年2月号	journal_issue	high	
publication:bencom:9c4178987fb26d2d	JCAジャーナル 2017年3月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年3月号	journal_issue	high	
publication:bencom:1457cc91158a37a4	JCAジャーナル 2017年4月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年4月号	journal_issue	high	
publication:bencom:4102101e3e6e39c9	JCAジャーナル 2017年5月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年5月号	journal_issue	high	
publication:bencom:9b4531c993d5bc36	JCAジャーナル 2017年6月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年6月号	journal_issue	high	
publication:bencom:126f1ab278a9257f	JCAジャーナル 2017年7月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年7月号	journal_issue	high	
publication:bencom:b6cc25d7d42cf123	JCAジャーナル 2017年8月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年8月号	journal_issue	high	
publication:bencom:f009732667a26868	JCAジャーナル 2017年9月号	2017	日本商事仲裁協会	monthly_issue	JCAジャーナル		2017年9月号	journal_issue	high	
publication:bencom:41e394959aa070db	JCAジャーナル 2018年10月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年10月号	journal_issue	high	
publication:bencom:edabcc856603db36	JCAジャーナル 2018年11月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年11月号	journal_issue	high	
publication:bencom:1a14a9746a917026	JCAジャーナル 2018年12月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年12月号	journal_issue	high	
publication:bencom:f6c03082d99f560e	JCAジャーナル 2018年1月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年1月号	journal_issue	high	
publication:bencom:e3310e12e143809f	JCAジャーナル 2018年2月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年2月号	journal_issue	high	
publication:bencom:0e36a7aa7ef8fae7	JCAジャーナル 2018年3月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年3月号	journal_issue	high	
publication:bencom:6087838a32e8ce9a	JCAジャーナル 2018年4月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年4月号	journal_issue	high	
publication:bencom:7fb0efee996aac20	JCAジャーナル 2018年5月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年5月号	journal_issue	high	
publication:bencom:03f8ec31c16e89f6	JCAジャーナル 2018年6月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年6月号	journal_issue	high	
publication:bencom:fe0eb7790ea2d7de	JCAジャーナル 2018年7月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年7月号	journal_issue	high	
publication:bencom:4782ab2fb733e072	JCAジャーナル 2018年8月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年8月号	journal_issue	high	
publication:bencom:f335659bd33a4338	JCAジャーナル 2018年9月号	2018	日本商事仲裁協会	monthly_issue	JCAジャーナル		2018年9月号	journal_issue	high	
publication:bencom:3f9bbf61c315a211	JCAジャーナル 2019年10月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年10月号	journal_issue	high	
publication:bencom:e109a002552cd01a	JCAジャーナル 2019年11月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年11月号	journal_issue	high	
publication:bencom:5b233021f109315b	JCAジャーナル 2019年12月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年12月号	journal_issue	high	
publication:bencom:a333984c5a3e4e73	JCAジャーナル 2019年1月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年1月号	journal_issue	high	
publication:bencom:c1d54b7357044ae6	JCAジャーナル 2019年2月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年2月号	journal_issue	high	
publication:bencom:0aa128d4d0f918d7	JCAジャーナル 2019年3月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年3月号	journal_issue	high	
publication:bencom:4673d255c035c070	JCAジャーナル 2019年4月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年4月号	journal_issue	high	
publication:bencom:fd1dd6b380040394	JCAジャーナル 2019年5月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年5月号	journal_issue	high	
publication:bencom:e8954f57780da4e8	JCAジャーナル 2019年6月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年6月号	journal_issue	high	
publication:bencom:1461d7b577797935	JCAジャーナル 2019年8月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年8月号	journal_issue	high	
publication:bencom:6ca339dd16bd97c2	JCAジャーナル 2019年9月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年9月号	journal_issue	high	
publication:bencom:91a3bfc26d7264e2	JCAジャーナル 2020年10月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年10月号	journal_issue	high	
publication:bencom:be5d8b7dc45f4575	JCAジャーナル 2020年11月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年11月号	journal_issue	high	
publication:bencom:7a3f18cded85e314	JCAジャーナル 2020年12月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年12月号	journal_issue	high	
publication:bencom:85f11762fd318924	JCAジャーナル 2020年1月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年1月号	journal_issue	high	
publication:bencom:ac8c7d70f00c3e75	JCAジャーナル 2020年2月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年2月号	journal_issue	high	
publication:bencom:2a5776a3a8fd862f	JCAジャーナル 2020年3月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年3月号	journal_issue	high	
publication:bencom:8dc82a47b0a8ae5f	JCAジャーナル 2020年4月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年4月号	journal_issue	high	
publication:bencom:032fefe99ff05ab7	JCAジャーナル 2020年5月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年5月号	journal_issue	high	
publication:bencom:59018f12144a171b	JCAジャーナル 2020年6月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年6月号	journal_issue	high	
publication:bencom:5dac96746176795b	JCAジャーナル 2020年7月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年7月号	journal_issue	high	
publication:bencom:91e304cac9e577e9	JCAジャーナル 2020年8月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年8月号	journal_issue	high	
publication:bencom:1925b70337f80b9d	JCAジャーナル 2020年9月号	2020	日本商事仲裁協会	monthly_issue	JCAジャーナル		2020年9月号	journal_issue	high	
publication:bencom:32bebe6f1da3ade0	JCAジャーナル 2021年10月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年10月号	journal_issue	high	
publication:bencom:c664b1c309866785	JCAジャーナル 2021年11月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年11月号	journal_issue	high	
publication:bencom:0b0056a324db7dea	JCAジャーナル 2021年12月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年12月号	journal_issue	high	
publication:bencom:4392801ed82855e1	JCAジャーナル 2021年1月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年1月号	journal_issue	high	
publication:bencom:0fa50c7e83496038	JCAジャーナル 2021年2月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年2月号	journal_issue	high	
publication:bencom:ff73df8360b6c4e6	JCAジャーナル 2021年3月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年3月号	journal_issue	high	
publication:bencom:a7ac9d1e409b7377	JCAジャーナル 2021年4月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年4月号	journal_issue	high	
publication:bencom:4dce4b73b7d08e57	JCAジャーナル 2021年5月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年5月号	journal_issue	high	
publication:bencom:f164eb9a82a3dcdd	JCAジャーナル 2021年6月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年6月号	journal_issue	high	
publication:bencom:7c55d0b46424e55d	JCAジャーナル 2021年7月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年7月号	journal_issue	high	
publication:bencom:011f5a09a7b9184e	JCAジャーナル 2021年8月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年8月号	journal_issue	high	
publication:bencom:e4fb92d29f8ff69f	JCAジャーナル 2021年9月号	2021	日本商事仲裁協会	monthly_issue	JCAジャーナル		2021年9月号	journal_issue	high	
publication:bencom:70d9f564c1c69f48	JCAジャーナル 2022年10月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年10月号	journal_issue	high	
publication:bencom:0b7dfeef5c6617b6	JCAジャーナル 2022年11月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年11月号	journal_issue	high	
publication:bencom:97819583897043ee	JCAジャーナル 2022年12月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年12月号	journal_issue	high	
publication:bencom:5c97a76e5203fd19	JCAジャーナル 2022年1月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年1月号	journal_issue	high	
publication:bencom:9115abc77ddb747a	JCAジャーナル 2022年2月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年2月号	journal_issue	high	
publication:bencom:d224457f9716b65e	JCAジャーナル 2022年3月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年3月号	journal_issue	high	
publication:bencom:a9bb2afaed70e346	JCAジャーナル 2022年4月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年4月号	journal_issue	high	
publication:bencom:fd4fd697857fe5cd	JCAジャーナル 2022年5月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年5月号	journal_issue	high	
publication:bencom:8115cf4cba2534a2	JCAジャーナル 2022年6月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年6月号	journal_issue	high	
publication:bencom:924329f0b63d2871	JCAジャーナル 2022年7月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年7月号	journal_issue	high	
publication:bencom:2ccabbe4fcf8483c	JCAジャーナル 2022年8月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年8月号	journal_issue	high	
publication:bencom:811d66130896a1ad	JCAジャーナル 2022年9月号	2022	日本商事仲裁協会	monthly_issue	JCAジャーナル		2022年9月号	journal_issue	high	
publication:bencom:1e7fb490b7195f65	JCAジャーナル 2023年10月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年10月号	journal_issue	high	
publication:bencom:eaac93dab4764c27	JCAジャーナル 2023年11月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年11月号	journal_issue	high	
publication:bencom:b73d9a3bffba0f50	JCAジャーナル 2023年12月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年12月号	journal_issue	high	
publication:bencom:b33b0fd2264cf2c7	JCAジャーナル 2023年1月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年1月号	journal_issue	high	
publication:bencom:2e261a3d25ed8097	JCAジャーナル 2023年2月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年2月号	journal_issue	high	
publication:bencom:39062d4e68482fd9	JCAジャーナル 2023年3月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年3月号	journal_issue	high	
publication:bencom:ddf4833d5df6f9c9	JCAジャーナル 2023年4月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年4月号	journal_issue	high	
publication:bencom:5304d8f520c79eb4	JCAジャーナル 2023年5月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年5月号	journal_issue	high	
publication:bencom:2c64784347a1db69	JCAジャーナル 2023年6月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年6月号	journal_issue	high	
publication:bencom:7d0f446d3bbca302	JCAジャーナル 2023年7月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年7月号	journal_issue	high	
publication:bencom:8bcb0d86611df4fa	JCAジャーナル 2023年8月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年8月号	journal_issue	high	
publication:bencom:d4e765722a1ced76	JCAジャーナル 2023年9月号	2023	日本商事仲裁協会	monthly_issue	JCAジャーナル		2023年9月号	journal_issue	high	
publication:bencom:7273058855335dd9	JCAジャーナル 2024年10月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年10月号	journal_issue	high	
publication:bencom:40167f1bdea9646e	JCAジャーナル 2024年11月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年11月号	journal_issue	high	
publication:bencom:72a38ad8b58ddf98	JCAジャーナル 2024年12月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年12月号	journal_issue	high	
publication:bencom:5761636a00db3eaa	JCAジャーナル 2024年1月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年1月号	journal_issue	high	
publication:bencom:994c31e721be061b	JCAジャーナル 2024年2月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年2月号	journal_issue	high	
publication:bencom:5a5ac71333fbba16	JCAジャーナル 2024年3月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年3月号	journal_issue	high	
publication:bencom:d8fbb9b34b887f0f	JCAジャーナル 2024年4月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年4月号	journal_issue	high	
publication:bencom:aa1f8ee840aa222c	JCAジャーナル 2024年5月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年5月号	journal_issue	high	
publication:bencom:303b4223225e3824	JCAジャーナル 2024年6月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年6月号	journal_issue	high	
publication:bencom:367f26588d180388	JCAジャーナル 2024年7月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年7月号	journal_issue	high	
publication:bencom:4a67ec1ed010eb0e	JCAジャーナル 2024年8月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年8月号	journal_issue	high	
publication:bencom:5b02a61354a6869b	JCAジャーナル 2024年9月号	2024	日本商事仲裁協会	monthly_issue	JCAジャーナル		2024年9月号	journal_issue	high	
publication:bencom:df10348c06125697	JCAジャーナル 2025年10月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年10月号	journal_issue	high	
publication:bencom:27b2e7b8b014d341	JCAジャーナル 2025年1月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年1月号	journal_issue	high	
publication:bencom:dfd7d95c7dfd559a	JCAジャーナル 2025年2月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年2月号	journal_issue	high	
publication:bencom:a32b871cf36bb833	JCAジャーナル 2025年3月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年3月号	journal_issue	high	
publication:bencom:ce44ff62356c9cff	JCAジャーナル 2025年4月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年4月号	journal_issue	high	
publication:bencom:e4b59b4e36812242	JCAジャーナル 2025年5月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年5月号	journal_issue	high	
publication:bencom:597640c0553eec1b	JCAジャーナル 2025年6月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年6月号	journal_issue	high	
publication:bencom:791993e86856f33c	JCAジャーナル 2025年7月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年7月号	journal_issue	high	
publication:bencom:74c309d8a2a37982	JCAジャーナル 2025年8月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年8月号	journal_issue	high	
publication:bencom:974672ebea473554	JCAジャーナル 2025年9月号	2025	日本商事仲裁協会	monthly_issue	JCAジャーナル		2025年9月号	journal_issue	high	
publication:bencom:3481da1749f0fb73	JCAジャーナル2019年7月号	2019	日本商事仲裁協会	monthly_issue	JCAジャーナル		2019年7月号	journal_issue	high	
publication:bencom:60f9596fa00fc88c	ビジネスガイド2025年5月号	2025	日本法令	monthly_issue	ビジネスガイド		2025年5月号	journal_issue	high	
publication:bencom:5f01ef3cd5f00a4d	ビジネスガイド2025年6月号	2025	日本法令	monthly_issue	ビジネスガイド		2025年6月号	journal_issue	high	
publication:bencom:7e52256ff1dad45f	ビジネスガイド2025年7月号	2025	日本法令	monthly_issue	ビジネスガイド		2025年7月号	journal_issue	high	
publication:bencom:f7a0bd2c2b239d44	ビジネスガイド2025年8月号	2025	日本法令	monthly_issue	ビジネスガイド		2025年8月号	journal_issue	high	
publication:bencom:8e3d741c43405a4e	ビジネスガイド2025年9月号	2025	日本法令	monthly_issue	ビジネスガイド		2025年9月号	journal_issue	high	
publication:bencom:22db94fe313045a8	ビジネス法務2021年10月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年10月号	journal_issue	high	
publication:bencom:9454904bf8fdcbe1	ビジネス法務2021年11月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年11月号	journal_issue	high	
publication:bencom:c223cacef712a44e	ビジネス法務2021年12月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年12月号	journal_issue	high	
publication:bencom:956a1c8a997d8322	ビジネス法務2021年6月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年6月号	journal_issue	high	
publication:bencom:9a8263bea2d8c7a2	ビジネス法務2021年7月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年7月号	journal_issue	high	
publication:bencom:13ce2e12ea6deb33	ビジネス法務2021年8月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年8月号	journal_issue	high	
publication:bencom:895ed89abe46a934	ビジネス法務2021年9月号	2021	中央経済社	monthly_issue	ビジネス法務		2021年9月号	journal_issue	high	
publication:bencom:ad80e8788223726f	ビジネス法務2022年10月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年10月号	journal_issue	high	
publication:bencom:c9642be9bd342cec	ビジネス法務2022年11月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年11月号	journal_issue	high	
publication:bencom:f01b95024f43932b	ビジネス法務2022年12月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年12月号	journal_issue	high	
publication:bencom:000df079eef9f39b	ビジネス法務2022年1月号	2021	中央経済社	monthly_issue	ビジネス法務		2022年1月号	journal_issue	high	
publication:bencom:dbbe9fb3ed269d8c	ビジネス法務2022年2月号	2021	中央経済社	monthly_issue	ビジネス法務		2022年2月号	journal_issue	high	
publication:bencom:2596e150f406d941	ビジネス法務2022年3月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年3月号	journal_issue	high	
publication:bencom:57efce64dc8a551d	ビジネス法務2022年4月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年4月号	journal_issue	high	
publication:bencom:24bf5a10244b386d	ビジネス法務2022年5月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年5月号	journal_issue	high	
publication:bencom:73107d732cd5d040	ビジネス法務2022年6月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年6月号	journal_issue	high	
publication:bencom:b741d54a28493c2b	ビジネス法務2022年7月号	2022	中央経済社	monthly_issue	ビジネス法務		2022年7月号	journal_issue	high	
