pid	title	year	publisher	verdict	confidence	reason
publication:bencom:42246272238623fc	そのまま使えるモデル英文契約書シリーズ 実施許諾契約書【許諾者用】	2020	日本商事仲裁協会	book	high	タイトル「そのまま使えるモデル英文契約書シリーズ 実施許諾契約書【許諾者用】」は、実務で使えるモデル契約書(契約書ひな型・実務書)を収めた単行本であり、「シリーズ」とあるが定期刊行物名+号数表記(YYYY年M月号、第N巻第N号、通巻など)を一切含まない。内容も特定の契約類型(実施許諾契約)を扱う実務書であり、雑誌の一号を指すものではない。既存メモの journal_issue は誤分類であり、book が正しい。
publication:bencom:612971bef09240f9	そのまま使えるモデル英文契約書シリーズ 技術ライセンス契約書【中国語版付】	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ」は日本商事仲裁協会が刊行する実務用の契約書ひな型シリーズの単行本であり、「技術ライセンス契約書【中国語版付】」は特定テーマの実務書（モノグラフ）。号数表記（YYYY年M月号、第N巻第N号、通巻など）や定期刊行物名を一切含まず、定期刊行物の一号ではない。既存メモのjournal_issue分類は誤りで、bookが妥当。
publication:bencom:fa3b5310045d8f94	そのまま使えるモデル英文契約書シリーズ 総代理店契約書【輸入用】	2020	日本商事仲裁協会	book	high	タイトルは「そのまま使えるモデル英文契約書シリーズ」という実務向けのモデル契約書集の一冊であり、「総代理店契約書【輸入用】」という個別テーマを扱う単行本(実務書)である。「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物特有の号数表記がなく、「シリーズ」は叢書名であって雑誌名ではない。既存メモのmisclassified_as_journal_issueとも整合し、bookと判定する。
publication:bencom:cbd9f74e656eb067	そのまま使えるモデル英文契約書シリーズ 総代理店契約書【輸出用】	2020	日本商事仲裁協会	book	high	タイトル「そのまま使えるモデル英文契約書シリーズ 総代理店契約書【輸出用】」は実務向けの契約書ひな形(モデル契約書)であり、単行本・実務書に該当する。「シリーズ」は雑誌の号数表記ではなく書籍叢書を意味し、「○年○月号」「第N巻第N号」「通巻」等の定期刊行物の号数表記が一切ない。発行元の日本商事仲裁協会が刊行する実務書であり、既存メモのjournal_issue分類は誤り。
publication:bencom:ada3057d7e7c6c28	そのまま使えるモデル英文契約書シリーズ 購入基本契約書	2020	日本商事仲裁協会	book	high	「そのまま使えるモデル英文契約書シリーズ」は書籍シリーズ名であり、「購入基本契約書」という個別の実務書(英文契約書のモデル・ひな形集)の単行本。号数表記(年月号・巻号・通巻・創刊号)が一切なく、定期刊行物ではない。日本商事仲裁協会が刊行する実務書として単発のbookに該当する。既存メモのmisclassified_as_journal_issueとも整合する。
publication:bencom:49515318f6442ab1	マネー・ローンダリング罪 捜査のすべて〔第3版〕	2023	立花書房	book	high	タイトルに版表示〔第3版〕があり、これは単行本の改訂版を示す典型的な指標。内容は「捜査のすべて」という実務書(モノグラフ)で、立花書房は法律実務書の出版社。「年月号」「巻号」「通巻」等の定期刊行物の号数表記が一切なく、雑誌名も含まない。既存メモのmisclassified_as_journal_issueも誤分類を裏付けており、bookと判定。
publication:bencom:2c06bedf2df7c4c8	モデル英文契約書 機械輸入契約	2025	日本商事仲裁協会	book	high	「モデル英文契約書 機械輸入契約」は日本商事仲裁協会が刊行する実務向けのモデル契約書(契約書ひな型・解説書)であり、単行の実務書に該当する。タイトルに「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名が含まれておらず、雑誌の一号を指す要素がない。既存メモのとおり journal_issue は誤分類であり、book が妥当。
publication:bencom:596f1a3382158652	モデル英文契約書 機械輸出契約	2025	日本商事仲裁協会	book	high	日本商事仲裁協会刊「そのまま使えるモデル英文契約書シリーズ」の一冊で、CD-ROM付の英文契約書ひな型実務書(単行本)。「機械輸出契約」は同シリーズ内の独立した書名であり、定期刊行物名や「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記は一切ない。既存のjournal_issue分類は誤りで、bookが正しい。
publication:bencom:734493f07898e978	不当要求等対処ハンドブック	2017	立花書房	book	high	立花書房は警察・刑事実務向けの専門書を刊行する出版社で、「○○ハンドブック」シリーズ(任意捜査ハンドブック、取調べハンドブック、警察安全相談対処ハンドブック〔第2版〕等)は単行本の実務書である。本書もこの命名パターンに一致し、定期刊行物名や号数表記(○年○月号/第N巻第N号/通巻/創刊号)を一切含まない、不当要求対応の実務ハンドブック(モノグラフ)。既存メモのmisclassified_as_journal_issueも誤分類を示唆しており、bookと判定。
publication:bencom:bc1578f66c62cb04	事業者必携 訪問販売・通信販売など活用自在！ 最新 特定商取引法と消費者契約の実践法律知識	2021	三修社	book	high	三修社の「事業者必携」シリーズの実務書で、特定商取引法と消費者契約の実務知識を体系的に解説する単行本。「号数表記(YYYY年M月号・第N巻第N号・通巻等)」や定期刊行物名を含まず、定期刊行物の一号を示す要素が一切ない。「最新」という版・改訂を示す表現はあるが号数ではなく、明確にモノグラフ・実務書に該当する。既存メモの journal_issue は誤分類。
publication:bencom:fbacabf6b77e2c31	交通事故実況見分調書作成実務必携	2023	立花書房	book	high	タイトル「交通事故実況見分調書作成実務必携」は「実務必携」とあり実務書(単行本)を示す。出版社は立花書房で警察・実務系の書籍を多く刊行。号数表記(「YYYY年M月号」「第N巻第N号」「通巻」等)や定期刊行物名を一切含まず、定期刊行物の一号と判断する根拠がない。既存メモのjournal_issueは誤分類であり、bookが妥当。
publication:bencom:98cc867b1cf6cd56	刑事事実認定重要判決50選(上)〔第2版〕	2013	立花書房	book	high	タイトルに版表示〔第2版〕があり、刑事事実認定の重要判決を解説する実務書・判例解説書(モノグラフ)である。「YYYY年M月号」「第N巻第N号」等の定期刊行物の号数表記はなく、立花書房刊の単行本。既存メモの journal_issue は誤分類で、book が正しい。
publication:bencom:a51ea936ea8f975a	刑事事実認定重要判決50選(下)〔第2版〕	2013	立花書房	book	high	タイトルに版表示「〔第2版〕」があり、上下巻構成の実務向け判例解説書(モノグラフ)。「年月号」「巻号」「通巻」等の定期刊行物の号数表記がなく、立花書房刊の単行本である。既存メモの journal_issue は誤分類。
publication:bencom:aaf21fe1b44647d5	刑事事実認定重要判決50選〔第3版〕上巻	2020	立花書房	book	high	タイトルに版表示〔第3版〕と巻次「上巻」があり、定期刊行物名や号数表記(YYYY年M月号・第N巻第N号・通巻等)は一切含まない。立花書房刊行の刑事実務の単行本(判例解説書)であり、典型的な書籍。既存メモのjournal_issueは誤分類。
publication:bencom:ce1be9aa421473cb	刑事事実認定重要判決50選〔第3版〕下巻	2020	立花書房	book	high	タイトルに版表示〔第3版〕があり、上下巻構成の実務書(刑事事実認定の重要判決解説)である。定期刊行物名や「YYYY年M月号」「第N巻第N号」等の号数表記が一切なく、立花書房刊行の単行本(モノグラフ)に該当する。既存メモの journal_issue は誤分類であり、bookが正しい。
publication:bencom:1330b9c8fd7f810a	刑事実体法演習	2015	立花書房	book	high	「刑事実体法演習～理論と実務の架橋のための15講～」(田中康郎・江見健一著、立花書房、2015年刊、ISBN978-4803743395、560頁)という単行本。出版社サイトでも「単行本」カテゴリに分類される演習・実務書であり、号数表記や定期刊行物名を含まない。既存メモのmisclassified_as_journal_issueは誤分類であり、bookが正しい。
publication:bencom:739542c17d2e3560	刑事手続法の論点	2019	立花書房	book	high	川出敏裕による単著の実務書・モノグラフ(立花書房、2019年8月、ISBN978-4-8037-2492-9)。GPS捜査やサイバー犯罪捜査など全10講で構成された書き下ろし書籍で、雑誌「警察学論集」の連載を基にしているが、加筆・修正・新規書き下ろしを加えて単行本として刊行されている。号数表記や定期刊行物名のタイトル表記はなく、明確に単行本。既存メモのjournal_issue分類は誤り。
publication:bencom:f6dbd124d97679e3	刑事訴訟法〔第5版〕	2015	立花書房	book	high	タイトル「刑事訴訟法〔第5版〕」は版表示(〔第5版〕)を持つ体系書・基本書であり、判定基準上versionを伴うものは通常book。号数表記(○年○月号、第N巻第N号、通巻など)や定期刊行物名は一切含まれない。出版社「立花書房」が刊行する刑事訴訟法の単行本(教科書/体系書)であり、雑誌の号ではない。既存メモ「misclassified_as_journal_issue」も誤分類であることを示しており、bookが妥当。
publication:bencom:7955ce01cf0bd70e	刑法〔第4版〕	2015	立花書房	book	high	タイトル「刑法〔第4版〕」は版表示(〔第4版〕)を持つ体系書であり、判定基準上、版表示があるものは通常book。立花書房刊行の刑法の体系書・基本書であり、「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物の号数表記を含まない。既存メモ misclassified_as_journal_issue も誤分類を示しており、正しくはbook。
publication:bencom:2876826ea825331e	判例講座 刑事訴訟法〔公訴提起・公判・裁判・上訴篇〕〔第2版〕	2023	立花書房	book	high	タイトルに〔第2版〕という版表示があり、刑事訴訟法の体系的な講座(実務書・体系書)である。立花書房刊行の単行本であり、定期刊行物名や号数表記(YYYY年M月号・第N巻第N号・通巻など)を一切含まない。既存メモのmisclassified_as_journal_issueも誤分類を示しており、bookと判定する。
publication:bencom:baa3197a2379adce	判例講座 刑事訴訟法〔捜査・証拠篇〕〔第2版〕	2021	立花書房	book	high	「判例講座 刑事訴訟法〔捜査・証拠篇〕〔第2版〕」は立花書房刊行の体系的な教科書・実務書であり、〔第2版〕という版表示を持つ。号数表記(年月号・巻号・通巻等)や定期刊行物名を含まず、単行本の典型。既存メモの「雑誌の号」分類は誤りで、bookが正しい。
publication:bencom:0c990b952a49a1a4	判例講座刑法総論	2025	立花書房	book	high	「判例講座刑法総論」は立花書房刊行の刑法総論の体系的な判例解説書(単行本)であり、「○年○月号」「第○巻第○号」「通巻」等の定期刊行物の号数表記を一切含まない。定期刊行物名も含まないため雑誌の一号ではなく、書籍(モノグラフ/体系書)と判断する。既存メモのmisclassified_as_journal_issueとも整合する。
publication:bencom:ec3ee5ac6afd968c	労働事件事実認定重要判決50選	2017	立花書房	book	high	「労働事件事実認定重要判決50選」は、立花書房が2017年に刊行した実務書(判例解説の単行本)であり、雑誌名や号数表記(年月号・巻号・通巻等)を一切含まない。「50選」は重要判例を選別・解説するモノグラフ型の編集タイトルで、定期刊行物の一号ではない。既存メモのjournal_issueは誤分類で、bookが正しい。
publication:bencom:063afb68dbbccd6f	取調べハンドブック	2019	立花書房	book	high	城祐一郎による単著の実務書で、立花書房から2019年2月刊行、ISBN 978-4-8037-2491-2、A5判333頁の単行本。号数表記や定期刊行物名は一切なく、各書店で書籍として販売されている。既存メモ「misclassified_as_journal_issue」のとおり誤分類であり、bookが正しい。
publication:bencom:78a96d0ec01b3c84	国際テロリズム分析ハンドブック	2025	立花書房	book	high	立花書房刊の単行本(2025年7月刊、ISBN 978-4-8037-1544-6、416頁、定価3,740円)。国際テロリズム・アルカイダ研究会編の実務解説書(ハンドブック)であり、「国際テロリズムハンドブック」の後継書として刊行されたモノグラフ。号数表記(○年○月号/第N巻第N号/通巻等)や定期刊行物名を一切含まず、journal_issueの要件に該当しない。既存メモのmisclassified_as_journal_issueはbookへの是正が妥当。
publication:bencom:a119667581bf9bda	地域・刑事実況見分調書作成実務必携	2025	立花書房	book	high	タイトル末尾の「実務必携」は単行の実務書を示す定型表現であり、立花書房の商品ページでも書籍(単行本)として刊行されている。号数表記(○年○月号・第N巻第N号等)や定期刊行物名を一切含まず、現職検察官らによる体系的な実務解説書。journal_issueへの分類は誤りでbookが正しい。
publication:bencom:6893e4cf94f3e395	外事犯罪捜査ハンドブック〔第3版〕	2025	立花書房	book	high	タイトルに版表示〔第3版〕があり、「ハンドブック」という実務書・単行本を示す語を含む。立花書房刊行の捜査実務書であり、号数表記(○年○月号、第N巻第N号、通巻等)や定期刊行物名は一切ない。既存メモも誤分類(misclassified_as_journal_issue)を示しており、書籍と判定するのが妥当。
publication:bencom:a678b22c47427c1a	実務のための警察行政法	2011	立花書房	book	high	タイトル「実務のための警察行政法」は警察行政法の実務書・体系書であり、号数表記(年月号・巻号・通巻等)や定期刊行物名を一切含まない。出版社の立花書房は警察関連の専門書を多数刊行する書籍出版社であり、単行本として刊行された実務書と判断できる。既存メモのmisclassified_as_journal_issueとも整合し、bookが正しい。
publication:bencom:d9a26f89f26e44bf	実務のための財産犯講座	2010	立花書房	book	high	タイトル「実務のための財産犯講座」は実務向けの体系的解説書(講座=モノグラフ・実務書)であり、号数表記(YYYY年M月号、第N巻第N号、創刊号、通巻等)も定期刊行物名も含まない。出版社の立花書房は法律実務書の刊行元で、単行本として刊行されたものと判断できる。既存メモ「misclassified_as_journal_issue」とも整合し、bookが妥当。
publication:bencom:5309f4f885a91f54	実施許諾契約書【被許諾者用】	2022	日本商事仲裁協会	book	high	タイトル「実施許諾契約書【被許諾者用】」は契約書のひな型・実務書式であり、単行の刊行物。号数表記(年月号・巻号・通巻・創刊号)が一切なく、定期刊行物名も含まないため雑誌の一号ではない。既存メモも誤分類を指摘しており、bookが妥当。
publication:bencom:58d254c92d3cc5d1	実践 財務捜査	2016	立花書房	book	high	「実践 財務捜査」は捜査実務の解説書(単行本)であり、号数表記(年月号・巻号・通巻・創刊号など)や定期刊行物名を一切含まない。版元の立花書房は警察・刑事実務書を中心とする出版社で、同社の同種実務書群(財産犯講座、捜査実務講座など)も同様に書籍。よってbookと判定。既存メモのmisclassified_as_journal_issueとも整合。
publication:bencom:e534f63b4b8d39aa	実践志向の捜査実務講座 特別刑事法犯の理論と捜査［1］	2010	立花書房	book	high	「実践志向の捜査実務講座」は立花書房刊の実務書シリーズ(講座物)であり、「特別刑事法犯の理論と捜査［1］」はその巻次［1］を示す単行本。定期刊行物名や「YYYY年M月号」「第N巻第N号」等の号数表記はなく、定期刊行物の一号ではない。実務体系書の分巻にあたるためbook。既存メモのjournal_issue判定は誤分類。
publication:bencom:6ddc4fe6bfad77ff	実践志向の捜査実務講座 特別刑事法犯の理論と捜査［2］	2014	立花書房	book	high	「実践志向の捜査実務講座 特別刑事法犯の理論と捜査」は立花書房刊行の実務書(講座シリーズ)であり、末尾の［2］は分冊・巻数を示す。「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物の号数表記や雑誌名は含まれず、定期刊行物の一号ではない。複数巻からなる実務書の一冊としてbookに該当。既存メモのmisclassified_as_journal_issueとも整合する。
publication:bencom:987f672b0e539856	実践的刑事事実認定と情況証拠〔第4版〕	2020	立花書房	book	high	タイトルに〔第4版〕という版表示があり、立花書房から刊行された実務書(刑事事実認定の専門書)である。号数表記(○年○月号、第N巻第N号、通巻等)や定期刊行物名を含まず、単行本・実務書の典型。既存メモのjournal_issue分類は誤りで、正しくはbook。
publication:bencom:9771b7b95764d9a3	家事事件重要判決50選	2012	立花書房	book	high	「家事事件重要判決50選」は重要判例を精選した単行本形式の実務書であり、「○○選」というタイトルは典型的なモノグラフ・実務書の形式。号数表記(YYYY年M月号、第N巻第N号、通巻など)や定期刊行物名を一切含まず、立花書房から2012年に単発刊行された書籍と判断できる。既存メモ「misclassified_as_journal_issue」も誤分類を示しており、bookが正しい。
publication:bencom:197bcb5d8c452a7a	少年事件重要判決50選	2010	立花書房	book	high	「少年事件重要判決50選」は重要判例を精選して一冊にまとめた実務向け単行本(判例選集)であり、「○選」形式は典型的な書籍体裁。号数表記(YYYY年M月号・第N巻第N号・通巻等)や定期刊行物名を一切含まず、立花書房刊の単発刊行物。既存メモのjournal_issue分類は誤りでbookが妥当。
publication:bencom:4e6d4ed3d1f4bfb2	少年警察ハンドブック〔第2版〕	2023	立花書房	book	high	タイトルに〔第2版〕という版表示があり、号数表記(○年○月号・第N巻第N号・通巻等)や定期刊行物名を含まない。「ハンドブック」という実務書・体系書を示す語であり、立花書房刊行の少年警察実務の単行本。既存メモのmisclassified_as_journal_issueの通り、本来はbookと判定すべき。
publication:bencom:bce486863b283ea3	広域技能指導官への道	2025	立花書房	book	high	タイトル「広域技能指導官への道」には「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記が一切なく、定期刊行物名も含まない。出版社の立花書房は警察実務書を多く刊行する版元であり、本書も特定職務(広域技能指導官)を目指すための単発の実務書・指南書と判断できる。既存メモのjournal_issue分類は誤りで、bookが妥当。
publication:bencom:87bc13eeadd890fa	廃棄物・リサイクル・その他環境事犯捜査実務ハンドブック〔第2版〕	2024	立花書房	book	high	タイトルに「〔第2版〕」という版表示があり、判定基準上これは通常bookに該当する。内容は「捜査実務ハンドブック」という実務書(モノグラフ)であり、立花書房刊の単行本。雑誌名や「YYYY年M月号」「第N巻第N号」「通巻」等の定期刊行物の号数表記は一切含まれていない。既存メモのjournal_issue分類は誤りであり、bookと判定する。
publication:bencom:119a3e8dd5bb606c	必携 交通事件重要判例要旨集〔第3版〕	2024	立花書房	book	high	版表示〔第3版〕を持つ判例要旨集(実務書・編著の単行本)であり、定期刊行物名や号数表記(年月号・巻号・通巻等)を一切含まない。立花書房刊の体系的な実務向けレファレンス書籍であるため book。既存メモの journal_issue は誤分類。
publication:bencom:2c7a69a940bec811	必携 自動車事故・危険運転重要判例要旨集〔第3版〕	2022	立花書房	book	high	タイトルに版表示〔第3版〕があり、定期刊行物名や号数表記(○年○月号・第N巻第N号・通巻など)を一切含まない。立花書房刊の自動車事故・危険運転に関する重要判例要旨をまとめた実務書(判例集)であり、単行本として刊行されたモノグラフである。既存メモのjournal_issueは誤分類であり、bookが正しい。
publication:bencom:bc1fb58442420607	性犯罪に対する処罰規定の改正等について	2025	立花書房	book	high	立花書房から2025年6月刊行の、橋爪隆教授による単著。雑誌連載（全3回）をまとめた単行本（電子書籍）であり、Amazon等でも「本」として扱われている。タイトルに雑誌名・巻号・「YYYY年M月号」等の号数表記がなく、定期刊行物の一号ではない。既存メモのmisclassified_as_journal_issueとも整合し、bookと判定。
publication:bencom:92c2ef4d9b9779e7	性犯罪捜査全書	2021	立花書房	book	high	城祐一郎による単著の実務書(副題「理論と実務の詳解」、ISBN 978-4-8037-0726-7)。立花書房の「単行本・その他」カテゴリに掲載され、定期刊行物名・号数表記(○年○月号、第N巻第N号、通巻等)を一切含まない。よって書籍(book)であり、journal_issueへの分類は誤り。
publication:bencom:fe926dbb39648c03	悩める現場の誌上事件相談室 検事！ この事件、どうすればいいですか？(上)	2025	立花書房	book	high	タイトル「検事！ この事件、どうすればいいですか？」は立花書房刊行の実務向け単行本であり、「(上)」は上下巻構成の分冊表示で書籍の巻次にあたる。号数表記(「YYYY年M月号」「第N巻第N号」「通巻」等)や定期刊行物名を一切含まず、定期刊行物の一号を示す要素がない。既存メモも誤分類(misclassified_as_journal_issue)を指摘しており、bookと判定する。
publication:bencom:55016edb71d4edac	悩める現場の誌上事件相談室 検事！ この事件、どうすればいいですか？(下)	2025	立花書房	book	high	立花書房の「警察公論セレクション」として上・中・下の3分冊で刊行された単行本の(下)巻。各巻が個別の書籍商品ページを持ち、雑誌「警察公論」の連載(第N回)を書籍化したもの。号数表記(YYYY年M月号・第N巻第N号等)はなく、タイトル中の「誌上」は連載形式の名残にすぎない。定期刊行物の一号ではなく単行本のためbook。「誌上」の語で雑誌号と誤分類された(misclassified_as_journal_issue)と判断。
publication:bencom:152cff65d21973ec	悩める現場の誌上事件相談室 検事！ この事件、どうすればいいですか？(中)	2025	立花書房	book	high	立花書房「警察公論セレクション」シリーズの単行本(電子書籍)。上・中・下の3分冊で、雑誌『警察公論』連載記事をまとめた単発の書籍として刊行されている(本タイトルは「中」巻)。年月号・巻号・通巻などの号数表記はなく、定期刊行物の一号ではない。タイトル中の「誌上」という語のため雑誌号と誤分類されたと推測されるが、刊行物の実体は単行本であり book が妥当。
publication:bencom:ea930fd65c5e8273	憲法逐条注解〔第2版〕	2022	立花書房	book	high	タイトル「憲法逐条注解」は憲法の条文ごとの注解(コンメンタール=体系書)であり、さらに「〔第2版〕」という版表示を伴う。号数表記(○年○月号、第N巻第N号、通巻等)や定期刊行物名は一切含まれず、立花書房刊行の単行書である。既存メモの誤分類(journal_issue)は誤りで、bookが正しい。
publication:bencom:533b19077e915726	捜査・公判のための実務用語・略語・隠語辞典	2011	立花書房	book	high	タイトルが「辞典」であり、捜査・公判実務向けの実務用語・略語・隠語をまとめた単行本の参考書(レファレンス書)である。定期刊行物名や「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記が一切なく、立花書房刊行の独立した実務書と判断できる。既存メモのmisclassified_as_journal_issueとも整合し、book が妥当。
publication:bencom:1112c773ad7c57e9	改正資金決済法対応 仮想通貨はこう変わる‼ 暗号資産の法律・税務・会計	2019	ぎょうせい	book	high	「改正資金決済法対応 仮想通貨はこう変わる‼ 暗号資産の法律・税務・会計」は、特定テーマ(改正資金決済法・暗号資産)を法律・税務・会計の各観点から解説した実務書・単行本である。タイトルに「YYYY年M月号」「第N巻第N号」「通巻」等の号数表記や定期刊行物名が一切含まれておらず、ぎょうせい刊行の単発のモノグラフと判断できる。既存メモの misclassified_as_journal_issue とも整合し、book が妥当。
publication:bencom:5c6b0397fd2574ce	新 事件送致書類作成要領〔第2版〕	2025	立花書房	book	high	タイトルに版表示〔第2版〕があり、定期刊行物名や号数表記(年月号・巻号・通巻等)を一切含まない。立花書房刊の事件送致書類作成に関する実務書(単行本)であり、book に該当する。既存メモの journal_issue 分類は誤り。
publication:bencom:482a51b9e4fd45f0	新 刑法犯・特別法犯 犯罪事実記載要領〔改訂第6版〕	2024	立花書房	book	high	タイトルに「〔改訂第6版〕」という版表示があり、立花書房刊行の刑事実務書(犯罪事実記載要領の実務マニュアル)である。号数表記や定期刊行物名は一切含まれず、単行本・実務書に該当する。既存メモの journal_issue 分類は誤り。
