edge_candidate_tier,edge_status,edge_role,case_name_popular,matched_formal_name,formal_name_freq_in_db,hanrei_id,事件番号,court,date,article_id,article_title,high_risk,owner_decision
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),公取委審判事件,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消請求事件,1,28082414,平成１４年（行ヒ）２４２号,最高三小判,平成15.9.9,issn:0439-3295#v49n5#p113,代位住民訴訟提起者の独禁法審判事件記録閲覧謄写請求権の有無（平成１５．９．９最高三小判）＜最新判例演習室 行政法＞,同一判例に複数article束ね,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),公取委審判事件,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消請求事件,1,28082414,平成１４年（行ヒ）２４２号,最高三小判,平成15.9.9,ncid:AN00326923#547#p168,公取委審判事件記録を閲覧謄写できる「利害関係人」（独占禁止法６９条）に，地方自治法２４２条の２第１項４号（平成１４年改正,同一判例に複数article束ね,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),ソブリン・サムライ債に係る債券管理会社の任意的訴訟,債券償還等請求事件,2,28212582,平成２１年（ワ）２１９２８号,東京地判,平成25.1.28,issn:1347-1198#23#p1,サムライ債（円建外債）の債券の管理会社は訴訟追行権を有するか――アルゼンチン債債券償還等請求事件（東京地裁平成２１年（ワ,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),此花電報電話局事件,給料請求上告事件,1,27000097,昭和５３年（オ）５５８号,最高一小判,昭和57.3.18,issn:0917-1592#v37n5#p46,時季変更権行使の適法性――此花電報電話局給料請求上告事件（昭和５７．３．１８最高一小判）,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),東京都外形標準課税条例無効確認等請求事件,各東京都外形標準課税条例無効確認等請求事件,1,28071568,平成１２年（行ウ）２５６号／平成１２年（行ウ）２６１号／平成１２年（行ウ）２６２号／平成１２年（行ウ）２６３号／平成１２年（行ウ）２６４号／平成１２年（行ウ）２６５号／平成１２年（行ウ）２６６号／平成１２年（行ウ）２６７号／平成１２年（行ウ）２６８号／平成１２年（行ウ）２６９号／平成１２年（行ウ）２７０号／平成１２年（行ウ）２７１号／平成１２年（行ウ）２７２号／平成１２年（行ウ）２７３号／平成１２年（行ウ）２７４号／平成１２年（行ウ）２７５号／平成１２年（行ウ）２７７号／平成１２年（行ウ）２７８号／平成１２年（行ウ）２７９号／平成１２年（行ウ）２８０号,東京地判,平成14.3.26,issn:0387-3617#246#p119,東京都外形標準課税条例無効確認等請求事件（平成１４．３．２６東京地判）＜判例解説＞,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),Winny事件,著作権法違反幇助被告事件,2,28185001,平成２１年（あ）１９００号,最高三小決,平成23.12.19,ncid:AN10468265#70#p94,最高裁，Ｗｉｎｎｙ開発者に無罪――著作権法違反幇助被告事件（平成２３．１２．１９最高三小決） （刑事弁護レポート）,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),国立景観訴訟,建築物撤去等請求控訴事件,1,28092829,平成１５年（ネ）４７８号,東京高判,平成16.10.27,issn:0386-5010#v28n2#p147,意見書：国立高層マンション景観侵害事件（平成１５年（ネ）第４７８号建築物撤去等請求控訴事件）における一審被告の「準備書面,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),生活保護基準引下げ違憲訴訟,生活保護基準引下げ処分取消等請求事件,2,28290945,平成２６年（行ウ）２８８号／平成２８年（行ウ）４７号,大阪地判,令和3.2.22,issn:0911-4718#1816#p57,生活保護基準引下げ処分取消等請求事件（令和３．２．２２大阪地判）（特集 〈生活保護基準引下げ違憲訴訟〉熊本・東京地裁で勝,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),株式会社が取締役に損害賠償を請求する訴訟において原告の設置した取締役責任調査委員会の委員であった弁護士が原告の訴訟代理人として行う訴訟,訴訟代理人による訴訟行為の排除を求める申立て却下決定に対する抗告審の取消決定に対する許可抗告事件,1,28301631,令和４年（許）３号,最高一小決,令和4.6.27,issn:0287-9956#1678#p2,訴訟代理人による訴訟行為の排除を求める申立却下決定に対する抗告審の取消決定に対する許可抗告事件（令和４．６．２７最高一小,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),公正取引委員会審判事件記録閲覧謄写許可処分取消請求事件,事件記録閲覧謄写許可処分取消、公正取引委員会審判事件記録閲覧謄写許可処分取消、公正取引委員会審判記録閲覧謄写許可執行取消各請求控訴事件,1,28072132,平成１３年（行コ）２３９号,東京高判,平成14.6.5,issn:0287-5209#v84n3#p105,公正取引委員会審判事件記録閲覧謄写許可処分取消請求事件（平成１４．６．５東京高判）＜行政判例研究５３１＞,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),モスク監視を全面的に擁護したムスリム違法捜査国賠訴訟,公安テロ情報流出被害国家賠償請求事件,1,28222026,平成２３年（ワ）１５７５０号／平成２３年（ワ）３２０７２号／平成２４年（ワ）３２６６号,東京地判,平成26.1.15,issn:1348-8473#43#p199,公安テロ情報流出被害国家賠償請求事件（平成２６．１．１５東京地判）＜判例研究＞,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),モルフォ株式インサイダー取引に係る課徴金納付命令処分取消請求事件,課徴金納付命令処分取消請求事件,2,28290613,平成３１年（行ウ）３０号,東京地判,令和3.1.26,issn:0911-4408#445#p115,モルフォ株式インサイダー取引に係る課徴金納付命令処分取消請求事件（令和３．１．２６東京地判）＜最近の裁判動向＞,,
T1,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),系統外出荷制限における市場閉鎖効果が問題になった事件,排除措置命令取消請求控訴事件,1,28280687,令和１年（行コ）１３１号,東京高判,令和1.11.27,issn:0425-6247#834#p63,高知県農業協同組合による排除措置命令取消請求控訴事件（令和元．１１．２７東京高判）＜審決・判決評釈＞,,
