object,op,key,field,before,after,reason,before_row,after_row
journal,NORMALIZE,不法行為法(法学セミナー増刊)』所収p,journal_canonical,不法行為法(法学セミナー増刊)』所収p,不法行為法(法学セミナー増刊),掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず),不法行為法(法学セミナー増刊)』所収p | 64 | isbn_per_issue |  | seed_isbn_per_issue | seed:article_meta_confirmed | 日本評論社「法学セミナー増刊」として発行された単独書籍(1985年)。ISSN無し。,不法行為法(法学セミナー増刊) | 64 | isbn_per_issue |  | seed_isbn_per_issue | seed:article_meta_confirmed | 日本評論社「法学セミナー増刊」として発行された単独書籍(1985年)。ISSN無し。
journal,NORMALIZE,昭和商法学史――岩崎稜先生追悼論文集』所収p,journal_canonical,昭和商法学史――岩崎稜先生追悼論文集』所収p,昭和商法学史――岩崎稜先生追悼論文集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),昭和商法学史――岩崎稜先生追悼論文集』所収p | 33 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,昭和商法学史――岩崎稜先生追悼論文集 | 33 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集』所収p,journal_canonical,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集』所収p,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集』所収p | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集 | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,商法学における論争と省察――服部榮三先生古稀記念』所収p,journal_canonical,商法学における論争と省察――服部榮三先生古稀記念』所収p,商法学における論争と省察――服部榮三先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),商法学における論争と省察――服部榮三先生古稀記念』所収p | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,商法学における論争と省察――服部榮三先生古稀記念 | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,演習民事訴訟法(法学教室選書)』所収p,journal_canonical,演習民事訴訟法(法学教室選書)』所収p,演習民事訴訟法(法学教室選書),掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),演習民事訴訟法(法学教室選書)』所収p | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。,演習民事訴訟法(法学教室選書) | 32 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 書籍シリーズ(isbn_per_issue)。掲載誌等「所収p」パターン確認。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,最高裁判所判例解説――民事篇<平成元年度>』所収p,journal_canonical,最高裁判所判例解説――民事篇<平成元年度>』所収p,最高裁判所判例解説――民事篇<平成元年度>,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),最高裁判所判例解説――民事篇<平成元年度>』所収p | 30 | isbn_per_issue |  | seed_isbn_per_issue | seed:ndl_isbn_index | 書籍シリーズ(掲載誌等表記の変形)。saikosai_isbn_map.csv参照,最高裁判所判例解説――民事篇<平成元年度> | 30 | isbn_per_issue |  | seed_isbn_per_issue | seed:ndl_isbn_index | 書籍シリーズ(掲載誌等表記の変形)。saikosai_isbn_map.csv参照
journal,NORMALIZE,労働法学の展望――菅野和夫先生古稀記念論集』所収p,journal_canonical,労働法学の展望――菅野和夫先生古稀記念論集』所収p,労働法学の展望――菅野和夫先生古稀記念論集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),労働法学の展望――菅野和夫先生古稀記念論集』所収p | 30 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。,労働法学の展望――菅野和夫先生古稀記念論集 | 30 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。
journal,NORMALIZE,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀』所収p,journal_canonical,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀』所収p,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民事訴訟法学の新たな展開――中村英郎教授古稀祝賀』所収p | 28 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,民事訴訟法学の新たな展開――中村英郎教授古稀祝賀 | 28 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,労働法学の理論と課題――片岡昇先生還暦記念』所収p,journal_canonical,労働法学の理論と課題――片岡昇先生還暦記念』所収p,労働法学の理論と課題――片岡昇先生還暦記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),労働法学の理論と課題――片岡昇先生還暦記念』所収p | 28 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。,労働法学の理論と課題――片岡昇先生還暦記念 | 28 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。
journal,NORMALIZE,日本民法学の新たな時代――星野英一先生追悼』所収p,journal_canonical,日本民法学の新たな時代――星野英一先生追悼』所収p,日本民法学の新たな時代――星野英一先生追悼,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),日本民法学の新たな時代――星野英一先生追悼』所収p | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。,日本民法学の新たな時代――星野英一先生追悼 | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(有斐閣)。
journal,NORMALIZE,民事法学の歴史と未来――田山輝明先生古稀記念論文集』所収p,journal_canonical,民事法学の歴史と未来――田山輝明先生古稀記念論文集』所収p,民事法学の歴史と未来――田山輝明先生古稀記念論文集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民事法学の歴史と未来――田山輝明先生古稀記念論文集』所収p | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,民事法学の歴史と未来――田山輝明先生古稀記念論文集 | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,民法学の新たな展開 高島平蔵教授古稀記念』所収p,journal_canonical,民法学の新たな展開 高島平蔵教授古稀記念』所収p,民法学の新たな展開 高島平蔵教授古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民法学の新たな展開 高島平蔵教授古稀記念』所収p | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,民法学の新たな展開 高島平蔵教授古稀記念 | 26 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,民法学の現在と近未来』所収p,journal_canonical,民法学の現在と近未来』所収p,民法学の現在と近未来,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず),民法学の現在と近未来』所収p | 25 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(法律文化社)。,民法学の現在と近未来 | 25 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(法律文化社)。
journal,NORMALIZE,社会の発展と民法学――近江幸治先生古稀記念論文集(下)』所収p,journal_canonical,社会の発展と民法学――近江幸治先生古稀記念論文集(下)』所収p,社会の発展と民法学――近江幸治先生古稀記念論文集(下),掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),社会の発展と民法学――近江幸治先生古稀記念論文集(下)』所収p | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,社会の発展と民法学――近江幸治先生古稀記念論文集(下) | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀』所収p,journal_canonical,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀』所収p,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀』所収p | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀 | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,journal_canonical,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(第一法規出版)。,現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念 | 24 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(第一法規出版)。
journal,NORMALIZE,民法学の伝統と新たな構想――宮本健蔵先生古稀記念』所収p,journal_canonical,民法学の伝統と新たな構想――宮本健蔵先生古稀記念』所収p,民法学の伝統と新たな構想――宮本健蔵先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民法学の伝統と新たな構想――宮本健蔵先生古稀記念』所収p | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(信山社)。,民法学の伝統と新たな構想――宮本健蔵先生古稀記念 | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(信山社)。
journal,NORMALIZE,社会の発展と民法学――近江幸治先生古稀記念論文集(上)』所収p,journal_canonical,社会の発展と民法学――近江幸治先生古稀記念論文集(上)』所収p,社会の発展と民法学――近江幸治先生古稀記念論文集(上),掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),社会の発展と民法学――近江幸治先生古稀記念論文集(上)』所収p | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。,社会の発展と民法学――近江幸治先生古稀記念論文集(上) | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(成文堂)。
journal,NORMALIZE,補講民法学』所収p,journal_canonical,補講民法学』所収p,補講民法学,掲載位置サフィックス除去。単著書名等の被引用venueとして名補完(統合せず),補講民法学』所収p | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(一粒社)。,補講民法学 | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_confirmed | 記念論集書籍(一粒社)。
journal,NORMALIZE,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,journal_canonical,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念 | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,journal_canonical,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念 | 23 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,要件事実論と民法学との対話』所収p,journal_canonical,要件事実論と民法学との対話』所収p,要件事実論と民法学との対話,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),要件事実論と民法学との対話』所収p | 22 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,要件事実論と民法学との対話 | 22 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,日本社会と市民法学――清水誠先生追悼論集』所収p,journal_canonical,日本社会と市民法学――清水誠先生追悼論集』所収p,日本社会と市民法学――清水誠先生追悼論集,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),日本社会と市民法学――清水誠先生追悼論集』所収p | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,日本社会と市民法学――清水誠先生追悼論集 | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,民法学における法と政策――平井宜雄先生古稀記念』所収p,journal_canonical,民法学における法と政策――平井宜雄先生古稀記念』所収p,民法学における法と政策――平井宜雄先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),民法学における法と政策――平井宜雄先生古稀記念』所収p | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,民法学における法と政策――平井宜雄先生古稀記念 | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,現代民法学の理論と実務の交錯――高木多喜男先生古稀記念』所収p,journal_canonical,現代民法学の理論と実務の交錯――高木多喜男先生古稀記念』所収p,現代民法学の理論と実務の交錯――高木多喜男先生古稀記念,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代民法学の理論と実務の交錯――高木多喜男先生古稀記念』所収p | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,現代民法学の理論と実務の交錯――高木多喜男先生古稀記念 | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,現代企業法学の課題と展開』所収p,journal_canonical,現代企業法学の課題と展開』所収p,現代企業法学の課題と展開,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),現代企業法学の課題と展開』所収p | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,現代企業法学の課題と展開 | 21 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀』所収p,journal_canonical,社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀』所収p,社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀,掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀』所収p | 20 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,社会の発展と権利の創造――民法・環境法学の最前線 淡路剛久先生古稀祝賀 | 20 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
journal,NORMALIZE,日独憲法学の創造力――栗城壽夫先生古稀記念(上)』所収p,journal_canonical,日独憲法学の創造力――栗城壽夫先生古稀記念(上)』所収p,日独憲法学の創造力――栗城壽夫先生古稀記念(上),掲載位置サフィックス除去。記念論集/演習/実務等の正当venue名として正規化(統合せず名補完のみ),日独憲法学の創造力――栗城壽夫先生古稀記念(上)』所収p | 20 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。,日独憲法学の創造力――栗城壽夫先生古稀記念(上) | 20 | issn |  | seed_isbn_per_issue | seed:article_meta_auto | 書籍シリーズ(isbn_per_issue)。canonicalに「所収p」含む。ISSN無し。各巻ISBN別管理。
