edge_candidate_tier,edge_status,edge_role,priority,nickname,formal_event_name,formal_name_freq_in_db,hanrei_id,事件番号,date,court,n_articles,via,owner_decision,machine_verdict,conflict,machine_verdict,conflict
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,東洋シート事件,一時金等請求併合事件,1,27802559,昭和５５年（ワ）６７６号／昭和５９年（ワ）５０６号,昭和63.3.2,広島地判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,津田電気計器事件,地位確認等請求控訴事件（３１２３号）、同附帯控訴事件（９２号）,1,28173856,平成２２年（ネ）３１２３号／平成２３年（ネ）９２号,平成23.3.25,大阪高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,阪神バス事件,義務不存在確認等請求事件,1,28222128,平成２３年（ワ）１１１１号,平成26.4.22,神戸地尼崎支判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,実務と学説からみた憲法訴訟,損害賠償請求控訴事件,5262,28300671,令和３年（ネ）２２８号,令和4.2.22,大阪高判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,日立製作所事件,補償金請求事件,34,28112208,平成１６年（受）７８１号,平成18.10.17,最高三小判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,旧優生保護法違憲訴訟,国家賠償請求事件,585,28272557,平成３０年（ワ）７６号／平成３０年（ワ）５８１号,令和1.5.28,仙台地判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,三菱重工長崎造船所事件,賃金請求事件,299,27804844,昭和４８年（ワ）２８７号,平成1.2.10,長崎地判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,東リ事件,地位確認等請求事件,1500,28281457,平成２９年（ワ）２０３０号,令和2.3.13,神戸地判,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),3,租税訴訟,文書提出命令申立却下決定に対する即時抗告申立事件,16,22004002,平成１年（行ス）２号,平成2.1.24,名古屋高金沢支決,3,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,四天王寺国際仏教大学事件,意思表示の効力停止等仮処分申請抗告事件,1,27808408,昭和６３年（ラ）５０２号,平成1.2.8,大阪高決,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,渉外家事事件,推定相続人廃除審判に対する即時抗告事件,4,28174764,平成２３年（ラ）４６０号,平成23.5.9,東京高決,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,筑豊じん肺訴訟,損害賠償請求控訴（６４３号、９３６号）、民事訴訟法２６０条２項による仮執行の原状回復及び損害賠償請求事件（５１３号）,1,28061661,平成７年（ネ）６４３号／平成７年（ネ）９３６号／平成８年（ネ）５１３号,平成13.7.19,福岡高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,マンナ運輸事件,従業員地位確認請求事件,7,28092353,平成１４年（ワ）２２２４号,平成16.2.27,神戸地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,三菱重工長崎造船所事件,年次有給休暇保有日数確認並びに未払賃金請求控訴事件,1,27826066,平成４年（ネ）３０６号,平成6.3.24,福岡高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,不二越訴訟,強制連行労働者等に対する未払賃金等請求事件,1,28011255,平成４年（ワ）２６３号,平成8.7.24,富山地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,不動産競売事件,嫌煙権侵害排除措置等請求事件（２９１８号）、損害賠償等請求事件（３１４４号）、損害賠償請求事件（７０９号）,1,28090150,平成１４年（ワ）７１８号,平成15.7.31,金沢地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,債権者代位訴訟,第三者の為にする契約に基づく振込金請求上告事件,1,27000204,昭和５１年（オ）４９号,昭和54.3.16,最高二小判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,固有必要的共同訴訟,境界確認請求上告事件,4,27000594,昭和４４年（オ）２７９号,昭和46.12.9,最高一小判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,日本トラック事件,災害補償金請求事件,8,27813988,昭和５５年（ワ）５５４号,昭和60.1.18,名古屋地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,日産自動車村山工場事件,労働契約上の地位確認請求上告事件,1,27808460,昭和６３年（オ）５１３号,平成1.12.7,最高一小判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,東宝・新東宝事件,株主権仮処分異議控訴事件,1,27410141,昭和２８年（ネ）６７４号,昭和28.12.9,東京高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,熊本ねずみ講事件,贈与税、所得税課税処分取消請求控訴事件,1,22004062,昭和５９年（行コ）４号,平成2.7.18,福岡高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,三菱重工業長崎造船所事件,労働契約関係存在確認等請求事件,11,27613356,昭和５０年（ワ）１００号,昭和60.6.26,長崎地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,同性婚訴訟,国家賠償請求事件,585,28311970,平成３１年（ワ）５９７号,令和5.5.30,名古屋地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,金沢市庁舎前広場事件,損害賠償請求事件,36439,28283383,平成２９年（ワ）４６９号,令和2.9.18,金沢地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,ノイズ研究所事件,遺言無効確認請求事件,260,28092446,平成１４年（ワ）２７号,平成16.2.26,横浜地川崎支判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,中倉陸運事件,損害賠償請求控訴事件,5262,28341671,令和５年（ネ）１８６７号,令和6.1.19,大阪高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,丸子警報器事件,地位保全仮処分申請事件,249,28011055,平成８年（ヨ）１３号,平成8.6.6,長野地上田支決,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,八ッ橋事件,損害賠償請求事件,36439,28282539,平成３０年（ワ）１６３１号,令和2.6.10,京都地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,名古屋自動車学校事件,損害賠償請求事件,36439,28181466,平成２１年（ワ）８０１５号,平成24.1.25,名古屋地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,姫路赤十字病院事件,救済命令取消請求控訴事件,11,27613108,昭和５６年（行コ）１６号,昭和57.3.17,大阪高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,日立製作所事件,株主総会決議取消請求事件,165,27802221,昭和６１年（ワ）１１１２６号,昭和62.1.13,東京地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,朝日火災海上保険事件,退職金支払請求事件,16,27813982,昭和５８年（ワ）１２４号,平成2.6.25,神戸地伊丹支判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,朝日火災海上保険事件,地位確認等請求事件,1500,27804749,昭和５８年（ワ）４６５号,平成1.5.30,福岡地小倉支判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,社会福祉法人紫雲会事件,損害賠償請求控訴事件,5262,28322913,令和５年（ネ）１４０５号,令和5.10.11,東京高判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,長崎生コンクリート事件,不当利得金返還請求事件,205,27802618,昭和６１年（ワ）２２５号,昭和63.2.12,長崎地判,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T3,needs_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),2,阪神バス事件,損害賠償請求事件,36439,28214131,平成２４年（ラ）９１３号,平成25.5.23,大阪高決,2,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,国立大学法人賃下げ訴訟,未払賃金等請求事件（４３２号）、退職金請求事件（２６９号）,1,28233322,平成２４年（ワ）４３２号／平成２５年（ワ）２６９号,平成27.7.17,水戸地土浦支判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,指定確認検査機関のした建築確認処分の取消訴訟,公金違法支出損害賠償請求事件,2,28110128,平成１６年（行ク）１６号,平成16.6.23,横浜地決,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,第1事件,ロイヤルティ等請求、損害賠償請求事件,1,28163302,平成２０年（ワ）６６１号／平成２０年（ワ）４９７３号,平成22.5.27,大阪地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,第1事件,,0,28163356,平成２２年（ラ）１４１７号,平成22.9.8,東京高決,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,B型肝炎訴訟,Ｂ型肝炎損害賠償請求事件,4,28291384,令和１年（受）１２８７号,令和3.4.26,最高二小判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,B型肝炎訴訟,不正競争防止法に基づく損害賠償等請求控訴事件,1,28090822,平成１２年（ネ）１９６号,平成16.1.16,札幌高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,JR西日本事件,未払い賃金等請求事件,8,28301905,令和３年（ワ）２９８号,令和4.4.19,岡山地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,JR西日本事件,安全配慮義務履行等請求事件,1,28230176,平成２４年（ワ）４１８４号,平成26.12.3,大阪地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,USJ事件,消費者契約法による差止請求控訴事件,1,28330227,令和５年（ネ）１８１２号,令和6.12.19,大阪高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,USJ事件,消費者契約法による差止請求事件,1,28312725,令和１年（ワ）９１８５号,令和5.7.21,大阪地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,オリエンタルモーター事件,割増賃金等請求控訴事件,6,28220813,平成２５年（ネ）４０３３号,平成25.11.21,東京高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,三菱重工業長崎造船所事件,掲示板、電話設備、構内郵便集配業務等利用権確認並びに組合費等控除業務継続請求控訴事件,1,27613301,昭和５４年（ネ）２７４号,昭和59.9.18,福岡高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,三菱重工長崎造船所事件,,0,27613369,昭和５４年（ワ）５６９号,昭和60.9.24,長崎地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,不二越訴訟,強制連行労働者等に対する未払賃金等請求控訴事件,1,28060273,平成８年（ネ）１５８号,平成10.12.21,名古屋高金沢支判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,中部日本広告社事件,退職金請求、未払賃金請求事件,1,27805185,昭和６２年（ワ）３２３３号／昭和６１年（ワ）３５２４号,平成1.6.26,名古屋地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,任意的訴訟,暴力団組事務所使用禁止仮処分命令申立事件,1,28274542,平成３１年（ヨ）１０４号,令和1.9.20,京都地決,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,任意的訴訟,賦課金立替金請求控訴事件,1,27804960,昭和６３年（ネ）１１４２号,平成1.6.23,大阪高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,共有物分割訴訟,共有物分割請求上告事件,4,27000349,昭和４７年（オ）１２１号,昭和50.11.7,最高二小判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,医療法人A病院事件,地位確認等請求控訴事件、仮執行の原状回復及び損害賠償の申立事件,1,28301985,令和３年（ネ）６９号／令和３年（ネ）３６５号,令和4.3.8,札幌高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,国立大学法人賃下げ訴訟,特定危険指定暴力団指定処分取消請求事件,1,28233320,平成２４年（ワ）４２１４号,平成27.1.28,福岡地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,国賠事件,出向命令効力停止仮処分申請事件,4,27425807,昭和５８年（ワ）１１１号,昭和59.4.25,長崎地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,大阪白急タクシー事件,地位保全、金員支払仮処分申請事件,3,27813971,昭和５２年（ヨ）３２００号,昭和53.3.1,大阪地決,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,安保法制違憲訴訟,各安保法制違憲国家賠償請求事件,1,28282440,平成２９年（ワ）４１２号／平成２９年（ワ）６０１号／平成３１年（ワ）２１１号,令和2.6.30,那覇地判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,日本トラック事件,災害補償金請求控訴事件,4,27613377,昭和６０年（ネ）４３号,昭和60.11.27,名古屋高判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
T2,candidate_for_review,UNVERIFIED(評釈対象 vs 引用は owner確認要),1,日本通運事件,無期転換逃れ地位確認請求事件,2,28291550,平成３０年（ワ）５６３号,令和3.3.30,横浜地川崎支判,1,unique,,CONFLICT_needs_human,yes,CONFLICT_needs_human,yes
