case_name_normalized,court,date,variant_names,article_ids,n_articles,is_hanrei_hyoshaku,distinct_case_names,is_possibly_overmerged
新国立劇場運営財団事件,最高三小判,平成23.4.12,新国立劇場運営財団事件|新国立劇場運営財団事件・ＩＮＡＸメンテナンス事件|新国立劇場事件|新国立劇場事件・ＩＮＡＸメンテナンス事件|ＩＮＡＸメンテナンス事件|ＩＮＡＸメンテナンス事件・新国立劇場事件|新国立劇場運営財団・ＩＮＡＸメンテナンス事件|新国立劇場運営財団およびＩＮＡＸメンテナンス事件|新国立劇場合唱団員事件|イナックスメンテナンス団体交渉拒否事件,isbn:bj-230#p8|isbn:bj-257#p8|issn:0287-9670#964#p18|issn:0387-1878#1035#p6|issn:0387-3420#v83n12#p71|issn:0439-3295#v57n2#p32|issn:0448-0791#1426#p10|issn:0448-0791#1426#p23|issn:0448-0791#1426#p4.2|issn:0448-0791#1426#p49|issn:0448-0791#23#p229|ncid:AN00327813#1743#p4|ncid:AN00327813#1745#p14|ncid:AN00327813#1745#p20|ncid:AN00327813#1745#p24|ncid:AN00327813#1745#p31|ncid:AN00327813#1745#p36|ncid:AN00327813#1745#p41|ncid:AN00327813#1745#p46|ncid:AN00327813#1745#p51|ncid:AN00327813#1745#p56|ncid:AN00327813#1745#p7,22,0,3,true
共同相続人間における遺産確認の訴えと固有必要的共同訴訟,最高三小判,平成1.3.28,共同相続人間における遺産確認の訴えと固有必要的共同訴訟|固有必要的共同訴訟|境界確定訴訟|遺産確認の訴えと固有必要的共同訴訟|土地境界確定訴訟|重婚的内縁・有責の夫からの離婚請求事件|境界確定・土地所有権確認訴訟|共同相続人間における遺産確認の訴と固有必要的共同訴訟,isbn:bj-146#p364|isbn:bj-201#p216|isbn:bj-226#p210|isbn:bj-265#p198|isbn:最高裁判所判例解説――民事篇<平成元年度>#p96|issn:0388-5429#10#p61|issn:0389-0538#v63n4#p110|issn:0389-2220#108#p90|issn:0438-5896#278#p278|issn:0438-5896#3#p22|issn:0439-3295#v34n11#p128|issn:0448-0791#124#p124.17|issn:0448-0791#132#p132.13|issn:0448-0791#2#p85|issn:0448-0791#939#p164|issn:0448-0791#946#p49|issn:0461-6898#v40n2#p93|issn:0916-4715#v1992n1#p51|issn:1342-5056#v101n4#p624|ncid:AN00326923#373#p200|ncid:AN00326923#398#p150|ncid:AN00327187#v42n11#p237,22,0,2,true
石油価格協定刑事事件,最高二小判,昭和59.2.24,石油価格協定刑事事件|石油価格カルテル事件|石油カルテル事件|石油ヤミカルテル刑事事件|石油カルテル刑事事件|最高裁の石油カルテル刑事事件|石油ヤミカルテル事件,isbn:bj-141#p20|isbn:bj-141#p260|isbn:bj-141#p80|isbn:bj-161#p18|isbn:bj-161#p258|isbn:bj-161#p76|isbn:bj-199#p16|isbn:bj-199#p262|isbn:bj-199#p60|isbn:bj-199#p72|isbn:bj-234#p12|isbn:bj-234#p254|isbn:bj-234#p60|isbn:bj-234#p72|isbn:石油カルテル最高裁刑事判決(経済法学会年報6)#p1.2|isbn:石油カルテル最高裁刑事判決(経済法学会年報6)#p38|isbn:石油カルテル最高裁刑事判決(経済法学会年報6)#p63|issn:0389-2220#45#p106|issn:0425-6247#402#p22|issn:0448-0791#59#p195|issn:0448-0791#59#p245|issn:0914-9112#v5n2#p101,22,0,4,true
国際自動車事件,最高三小判,平成29.2.28,国際自動車事件|エマックス事件|商標権侵害訴訟|不正競争防止法２条１項１号における周知性要件の解釈並びに商標権侵害訴訟,isbn:bj-248#p132|isbn:bj-248#p78|issn:0286-0821#320#p149|issn:0386-0639#130#p194|issn:0387-3420#v90n1#p139|issn:0439-3295#v62n7#p111|issn:0439-3295#v63n3#p14|issn:0448-0791#1506#p4|issn:0448-0791#1509#p115|issn:0448-0791#1511#p100|issn:0448-0791#29#p219|issn:0448-0791#517#p517|issn:1340-847X#v68n2#p224|issn:1341-9498#v17n7#p44|issn:1342-5064#v68n23#p4|ncid:AA11504883#v17n9#p82|ncid:AA12241495#247#p247.3|ncid:AN00327187#193#p126|ncid:AN00327187#195#p170|ncid:AN00327187#195#p26|ncid:AN00327799#2451#p17|ncid:AN00327813#1886#p12,22,0,3,true
会社事件,,,会社事件,issn:0289-1107#1229#p43|issn:0387-3420#v84n4#p11|issn:0387-3420#v84n4#p18|issn:0387-3420#v84n4#p25|issn:0387-3420#v84n4#p31|issn:0387-3420#v84n4#p38|issn:0387-3420#v84n4#p44|issn:0387-3420#v84n4#p5|issn:0387-3420#v84n4#p5.5|issn:0387-3420#v84n4#p50|issn:0387-3420#v84n4#p57|issn:0483-1330#228#p184|ncid:AN00327438#v41n10#p66|ncid:AN00327438#v41n11#p60|ncid:AN00327438#v41n12#p43|ncid:AN00327438#v41n2#p80|ncid:AN00327438#v41n4#p32|ncid:AN00327438#v41n5#p42|ncid:AN00327438#v41n6#p50|ncid:AN00327438#v41n9#p70|ncid:AN00327438#v42n3#p56|ncid:AN00327438#v42n4#p48,22,0,0,false
借地借家法32条1項の規定に基づく賃料増減請求により増減された賃料額の確認を求める訴訟,最高一小判,平成26.9.25,借地借家法３２条１項の規定に基づく賃料増減請求により増減された賃料額の確認を求める訴訟|賃料増減額確認請求訴訟|借地借家法３２条１項の規定に基づく賃料増減額請求により増減された賃料額の確認を求める訴訟|借地借家法に基づく賃料増減請求により増減された賃料額の確認を求める訴訟|賃料増減確認請求訴訟|賃料増減請求により増減された賃料額の確認を求める訴訟|固定資産税等賦課取消請求事件|建物賃料減額確認請求訴訟|の口頭弁論終結前に行使した同建物賃料増額請求権に基づく建物賃料増額確認請求訴訟|建物賃料増減額確認請求訴訟|近時の最高裁判決に見る民事訴訟|賃料増減請求後の賃料額確認請求訴訟|賃料増減請求後の賃料額確認請求訴訟における訴訟,|isbn:最高裁判所判例解説――民事篇<平成26年度>#p340|issn:0286-4258#v48n2#p221|issn:0287-9670#1042#p92|issn:0287-9956#1469#p8|issn:0389-0538#v88n10#p90|issn:0389-2220#422#p32|issn:0429-8411#v61n4#p1417|issn:0439-3295#v60n10#p128|issn:0448-0791#1502#p90|issn:0448-0791#190#p190.3|issn:0448-0791#26#p137|issn:0452-8204#134#p121|issn:1341-1179#v2158n13#p66|issn:1342-5056#v153n4#p28|ncid:AA1115468X#2015#p31|ncid:AA12241495#153#p153.5|ncid:AN00126094#v66n6#p11|ncid:AN00326923#2015#p124|ncid:AN00326923#677#p123|ncid:AN00327187#v68n12#p151,21,0,1,false
三井倉庫港運事件,最高一小判,平成1.12.14,三井倉庫港運事件|日本シェーリング事件|都営芝浦と畜場事件|東京都と畜場事件|三井倉庫港運解雇無効確認等請求事件|日本鋼管鶴見製作所事件|都立芝浦と畜場事件,isbn:bj-134#p178|isbn:bj-141#p154|isbn:bj-161#p142|isbn:bj-165#p196|isbn:bj-197#p174|isbn:bj-199#p122|isbn:bj-230#p168|isbn:bj-234#p120|isbn:bj-234#p4|isbn:bj-257#p170|issn:0386-0639#76#p116|issn:0386-0639#76#p131|issn:0389-2220#349#p81|issn:0439-3295#v36n3#p122|issn:0448-0791#215#p215.6|issn:0448-0791#218#p218.12|issn:0448-0791#966#p104|issn:0448-0791#973#p121|issn:0916-9806#v43n5#p75|ncid:AN00326923#383#p230|ncid:AN00327813#1233#p36,21,0,6,true
日本メール・オーダー事件,最高三小判,昭和59.5.29,日本メール・オーダー事件|フットボール事件|十和田労基署長事件|さし違え事件|フットボール・シンボルマーク事件|日本メール・オーダー救済命令取消請求上告事件|日本メール・オーダー上告事件,isbn:bj-101#p158|isbn:bj-134#p244|isbn:bj-165#p256|isbn:bj-188#p144|isbn:bj-188#p156|isbn:bj-248#p138|issn:0286-9160#61#p85|issn:0385-5082#v49n1#p155|issn:0386-0620#133#p198|issn:0386-0620#133#p92|issn:0387-1878#202#p202|issn:0387-1878#210#p210|issn:0387-1878#431#p4|issn:0389-0546#v60n4#p157|issn:0389-2220#354#p72|issn:0389-2220#48#p92|issn:0448-0791#59#p237|issn:0448-0791#824#p103|issn:0917-1592#v12n12#p45|issn:1342-5242#1298#p24|ncid:AN00326923#315#p57,21,0,4,true
電通事件,最高二小判,平成12.3.24,電通事件|契約に基づく請求権について訴訟|契約に基づく請求権について訴訟上の和解をすることの委任を受けた弁護士が同契約の債務不履行に基づく損害賠償請求権について和解をすることの具体的委任を受けていなくても右訴訟|電通過労自殺訴訟|和解について授権を受けた訴訟|電通過労死事件|契約上の債権について訴訟,isbn:bj-165#p142|isbn:bj-191#p150|isbn:bj-197#p112|isbn:bj-227#p140|isbn:bj-230#p100|isbn:bj-257#p100|isbn:最高裁判所判例解説――民事篇<平成12年度>(上)(1月~4月分)#p323|issn:0286-0821#341#p120|issn:0387-1878#935#p92|issn:0387-2882#v68n3#p215|issn:0387-3420#v73n4#p88|issn:0389-2220#239#p124|issn:0389-2220#341#p86|issn:0389-2220#364#p117|issn:0438-5896#12#p242|issn:0448-0791#1199#p84|issn:0448-0791#12#p121|issn:0448-0791#2#p92.383|issn:0916-9806#v53n10#p43|issn:1342-5056#2001-02#p294|ncid:AN00327187#v55n3#p211,21,0,4,true
物上保証人に対する不動産競売事件,最高三小判,平成9.2.25,物上保証人に対する不動産競売事件|遺留分権利者からの不動産の持分移転登記手続請求訴訟|大韓民国国籍を有する夫婦間の離婚事件|遺留分権利者からの不動産持分移転登記手続請求訴訟|現物返還を求める遺留分減殺請求訴訟|遺留分権者による遺留分減殺に基づく不動産移転登記請求に対して受遺者・受贈者が訴訟,isbn:最高裁判所判例解説――民事篇<平成9年度>(上)(1月~3月分)#p241|isbn:最高裁判所判例解説――民事篇<平成9年度>(上)(1月~3月分)#p256|issn:0022-6815#v116n7#p1200|issn:0287-9956#1025#p41|issn:0389-0538#v71n11#p113|issn:0389-2220#204#p134|issn:0438-5896#9#p130|issn:0438-5896#9#p150|issn:0438-5896#9#p210|issn:0448-0791#1#p306|issn:0448-0791#1117#p175|issn:0448-0791#1118#p113|issn:0448-0791#2#p163|issn:0912-1579#481#p49|issn:1341-1179#v41n12#p37|issn:1342-5056#v118n2#p47|issn:1342-5056#v118n2#p63|ncid:AN00326923#465#p205|ncid:AN00326923#467#p211|ncid:AN00327187#v50n1#p259|ncid:AN00327187#v51n5#p127,21,0,2,true
JR採用差別事件,,,ＪＲ採用差別事件|団結活動の保障を忘れたＪＲ採用差別事件,issn:0286-0821#240#p96|issn:0286-0821#250#p10|issn:0286-0821#250#p19|issn:0286-0821#250#p2|issn:0286-0821#250#p22|issn:0286-0821#250#p3|issn:0286-0821#250#p6|issn:0286-0821#254#p2|issn:0389-0546#v72n1#p1.3|ncid:AN00327813#1289#p4|ncid:AN00327813#1381#p14|ncid:AN00327813#1434#p22|ncid:AN00327813#1434#p6|ncid:AN00327813#1729#p12|ncid:AN00327813#1729#p20|ncid:AN00327813#1729#p34|ncid:AN00327813#1729#p39|ncid:AN00327813#1729#p4|ncid:AN00327813#1729#p4.4|ncid:AN00327813#1729#p57|ncid:AN00327813#1729#p8,21,0,1,false
堀越事件,最高二小判,平成24.12.7,堀越事件|国公法２事件|国公法事件|平成の憲法事件|国家公務員法弾圧・堀越事件|猿払事件|堀越・世田谷事件|堀越事件と宇治橋事件|国公法違反被告事件|国公法違反被告事件最高裁判決と憲法訴訟|憲法裁判としての国公法２事件|憲法判例としての国公法２事件,isbn:bj-217#p32|isbn:bj-245#p30|isbn:bj-273#p28|issn:0009-6296#v120n3#p451|issn:0386-3050#v63n4#p162|issn:0387-3420#v85n3#p1|issn:0387-3420#v85n5#p54.8|issn:0387-3420#v85n5#p62|issn:0387-3420#v85n5#p67|issn:0387-3420#v85n5#p73|issn:0389-2220#464#p15|issn:0389-8571#2016-08#p153|issn:0439-3295#v58n3#p130|issn:0439-3295#v58n3#p46|issn:0448-0791#13#p48|issn:0483-1330#345-346#p282|issn:1341-9498#v23n3#p40|issn:2187-1302#29#p43|ncid:AA1115468X#2013#p5|ncid:AN00327813#1790#p6.3,20,0,5,true
箕面忠魂碑・慰霊祭訴訟,最高三小判,平成5.2.16,箕面忠魂碑・慰霊祭訴訟|和歌山労基署長事件|労災保険不支給決定取消訴訟|和歌山ベンジジン事件|自転車用幼児乗せ荷台事件,isbn:bj-130#p100|isbn:bj-153#p122|isbn:bj-154#p108|isbn:bj-186#p106|isbn:bj-212#p408|isbn:bj-217#p108|isbn:bj-236#p392|isbn:bj-244#p184|isbn:bj-245#p102|isbn:bj-261#p374|isbn:bj-273#p98|isbn:判例セレクト’93(月刊法学教室162別冊付録)#p12|issn:0386-0639#82#p186|issn:0389-2220#154#p109|issn:0389-2220#159#p98|issn:0448-0791#1026#p48|issn:0448-0791#1027#p75|issn:0448-0791#1043#p111|issn:0448-0791#5#p231|issn:0448-0791#5#p26.127,20,0,4,true
北方ジャーナル事件,,昭和61.6.11,北方ジャーナル事件|北方ジャーナル差止国賠事件,isbn:bj-104#p14|isbn:bj-136#p14|isbn:bj-159#p16|isbn:bj-175#p16|isbn:bj-179#p148|isbn:bj-195#p10|isbn:bj-223#p10|isbn:bj-237#p10|isbn:bj-262#p10|issn:0389-2220#309#p92|issn:0438-5896#1470#p5|issn:0448-0791#1#p50|issn:0448-0791#61#p15|issn:0448-0791#867#p50|issn:0493-4067#1290#p86|issn:0493-4067#1291#p86|issn:0493-4067#1293#p87|issn:0912-1587#586#p27|issn:1880-9731#4#p101|ncid:AN00326923#338#p34,20,1,1,false
59条の2第1項に基づくいわゆる総合設計許可の取消訴訟,最高三小判,平成14.1.22,５９条の２第１項に基づくいわゆる総合設計許可の取消訴訟|商法２６８条２項による株主代表訴訟|株主代表訴訟への共同訴訟|商法２６８条２項による株主代表訴訟への参加が不当に訴訟|不当に訴訟|株主代表訴訟への共同訴訟参加と訴訟|株主代表訴訟への参加が不当に訴訟|株主の訴訟参加と訴訟|総合設計許可の取消訴訟|株主代表訴訟への参加と訴訟|株式代表訴訟|旧民事訴訟|総合設計許可処分に対する取消訴訟|建築確認処分取消請求事件|株主代表訴訟への共同訴訟参加が不当な訴訟|不参加の被告知者に対して訴訟|株主代表訴訟における株主による共同訴訟,isbn:最高裁判所判例解説――民事篇<平成14年度>(上)(1月~6月分)#p36|issn:0287-9956#1180#p60|issn:0289-1107#1764#p52|issn:0387-3617#252#p78|issn:0389-2220#262#p146|issn:0438-5896#1164#p89|issn:0438-5896#14#p142|issn:0439-3295#v47n11#p121|issn:0439-3295#v47n8#p110|issn:0448-0791#1238#p114|issn:0448-0791#1295#p217|issn:0448-0791#14#p34|issn:0448-0791#14#p96|issn:0448-0791#248#p248.5|issn:1341-1179#v46n11#p75|issn:1342-5056#v127n1#p132|ncid:AN00326923#2003#p102|ncid:AN00326923#526#p169|ncid:AN00327187#v56n8#p103,19,0,4,true
