case_name_normalized,court,date,n_hanrei_judgments,n_variants,n_assigned,assignments,candidate_dockets
組合申立てに係る救済命令の取消訴訟,最高一小判,平成14.9.26,5,14,1,米国特許権に基づく損害賠償等請求事件=>28072386(平成１２年（受）５８０号),平成１０年（オ）１４４６号:損害賠償請求上告事件 | 平成１２年（受）５８０号:損害賠償等請求事件 | 平成１３年（オ）２０３号／平成１３年（受）１８６号:解雇無効確認等請求事件 | 平成１３年（行ニ）５号／平成１３年（行ニ）６号:訴訟参加申立て事件 | 平成１４年（オ）５号／平成１４年（オ）６号／平成１４年（オ）７号／平成１４年（受）１号／平成１４年（受）２号等:上告受理申立て却下決定に対す
著作権関係事件,最高二小判,平成13.6.8,6,9,1,著作権確認等請求事件=>28061235(平成１２年（オ）９２９号／平成１２年（受）７８０号),平成１１年（オ）１８３０号／平成１１年（受）１５２５号:貸金請求事件 | 平成１２年（オ）９２９号／平成１２年（受）７８０号:著作権確認等請求事件 | 平成１２年（受）８２０号:臨時株主総会決議不存在確認、 | 平成１２年（受）８４号:破産債権確定請求事件 | 平成１３年（受）３７３号:債務不存在確認、電話料金請求 | 平成９年（オ）９６８号:損害賠償請求上告事件
ネスレ日本事件,最高二小判,平成18.10.6,3,7,1,ネスレジャパンホールディング地位確認等請求事件=>28282412(平成１８年（受）３１５号),平成１６年（受）９１８号／平成１８年（オ）１０７５号:労働契約上の地位確認等請求、 | 平成１８年（受）３１５号:地位確認等請求事件 | 平成１８年（行ツ）１２７号／平成１８年（行ヒ）１４９号:損害賠償請求控訴事件
馬券訴訟,最高三小判,平成27.3.10,4,12,1,国籍留保制度を規定する国籍法１２条と憲法１４条の関係・国籍確認請求事件=>28230968(平成２５年（行ツ）２３０号),平成２５年（あ）７５５号:営利誘拐幇助、逮捕監禁幇助、 | 平成２５年（行ツ）２３０号:国籍確認請求事件
公取委審判事件,最高三小判,平成15.9.9,3,13,1,審判事件=>28082414(平成１４年（行ヒ）２４２号),平成１２年（受）８７７号:保険金請求事件 | 平成１４年（オ）１２６４号／平成１４年（受）１２９３号:損害賠償請求事件 | 平成１４年（行ヒ）２４２号:事件記録閲覧謄写許可処分取消
日教組スト事件,最高一小判,平成1.12.18,3,9,1,選挙無効請求事件=>27805327(昭和６３年（行ツ）１７６号),昭和６１年（あ）１４３７号:地方公務員法違反被告事件 | 昭和６１年（あ）２０４号:地方公務員法違反被告事件 | 昭和６３年（行ツ）１７６号:選挙無効請求事件
東京灯油訴訟,最高一小判,昭和62.7.2,4,6,1,石油価格協定損害賠償請求事件=>27800027(昭和５６年（行ツ）１７８号),昭和５６年（行ツ）１７８号:損害賠償請求事件 | 昭和５８年（オ）１５２４号:戒告処分無効確認請求上告事件 | 昭和６０年（オ）１１２４号:破産債権確定請求事件 | 昭和６１年（行ツ）１５７号:所得税更正処分取消等請求上告
此花電報電話局事件,最高一小判,昭和57.3.18,2,4,1,此花電報電話局給料請求上告事件=>27000097(昭和５３年（オ）５５８号),昭和５３年（オ）５５８号:給料請求上告事件 | 昭和５５年（オ）７９２号:損害賠償等請求事件
四日市ぜん息損害賠償請求事件,,昭和47.7.24,5,4,1,四日市ぜん息損害賠償請求事件=>27424499(昭和４２年（ワ）１３８号),昭和４２年（ワ）１３８号:損害賠償請求事件 | 昭和４４年（ワ）２９２２号／昭和４６年（ワ）１１２１８号:土地所有権移転登記抹消登記手 | 昭和４５年（ネ）６４９号:ため池所有権確認等請求控訴事 | 昭和４６年（ワ）５００７号:特許権にかかる損害賠償請求事 | 昭和４７年（家ロ）２１号:遺留分放棄許可審判の取消申立
長崎教師批判ビラ事件,最高一小判,平成1.12.21,5,5,1,桜島村不発弾爆破国家賠償請求事件=>27805392(昭和５９年（オ）１４７７号),平成１年（行ツ）１５号:選挙無効請求事件 | 平成１年（行ツ）６号:選挙無効請求事件 | 昭和５９年（オ）１４７７号:国家賠償請求事件 | 昭和６０年（オ）１２７４号:損害賠償等請求事件 | 昭和６２年（オ）５１５号:労働契約関係存在確認等請求事
倉田学園事件,最高三小判,平成6.12.20,3,4,1,住民訴訟による損害賠償請求事件=>22007472(平成５年（行ツ）１５号),平成２年（オ）６６３号:建物収去土地明渡等請求事件 | 平成３年（行ツ）１５５号:不当労働行為救済命令取消請求 | 平成５年（行ツ）１５号:損害賠償請求事件
旭川市国民健康保険条例事件,,平成18.3.1,8,3,1,国民健康保険料賦課処分取消等請求事件=>28110487(平成１２年（行ツ）６２号／平成１２年（行ヒ）６６号),平成１２年（行ツ）６２号／平成１２年（行ヒ）６６号:国民健康保険料賦課処分取消等 | 平成１６年（ワ）４９０号:交通事故による損害賠償請求事 | 平成１６年（ワ）８６３２号:保険金請求事件 | 平成１７年（ワ）２３７１５号:損害賠償請求事件 | 平成１７年（行ケ）１０２７３号:審決取消請求事件 | 平成１７年（行ケ）１０３６０号:特許取消決定取消請求事件
内閣総理大臣による靖国神社参拝訴訟,最高二小判,平成18.6.23,3,6,1,小泉首相靖国参拝損害賠償請求事件=>28333029(平成１７年（オ）１１２５号／平成１７年（受）１３００号),平成１７年（オ）１１２５号／平成１７年（受）１３００号:損害賠償請求事件 | 平成１７年（受）１１９２号:預金払戻請求事件 | 平成１７年（受）２１８４号:靖国参拝違憲確認等請求上告事
確定判決の効力を受ける第三者の民事訴訟,最高一小決,平成25.11.21,3,3,1,求償債権等請求事件=>28213801(平成２４年（受）１０５号),平成２３年（受）９８９号:損害賠償等請求事件 | 平成２４年（受）１０５号:求償債権等請求事件 | 平成２４年（許）４３号:再審請求棄却決定に対する抗告
建設アスベスト訴訟,最高一小判,令和3.5.17,4,10,0,,平成３０年（受）１４４７号／平成３０年（受）１４４８号／平成３０年（受）１４４９号／平成３０年（受）１４５１号／平成３０年（受）１４５２号:各損害賠償請求事件 | 平成３１年（受）２９０号／平成３１年（受）２９１号／平成３１年（受）２９２号:損害賠償請求事件 | 平成３１年（受）４９１号／平成３１年（受）４９５号:損害賠償請求事件 | 平成３１年（受）５９６号:損害賠償請求事件
大阪国際空港事件,,昭和56.12.16,12,5,0,,昭和５０年（行ケ）７５号:土地所有権確認等請求控訴事件 | 昭和５１年（オ）３９５号:大阪国際空港夜間飛行禁止等請 | 昭和５３年（ワ）１２４６０号:損害賠償請求事件 | 昭和５４年（ネ）２９６６号:損害賠償請求控訴事件 | 昭和５５年（ネ）７７号:理事会決議不存在確認請求控訴 | 昭和５５年（ラ）１０８６号:文書提出命令申立却下決定に対
自動車損害賠償保障法16条1項に基づいて損害賠償額の支払を請求する訴訟,最高一小判,平成18.3.30,2,10,0,,平成１７年（受）１６２８号:損害賠償請求事件 | 平成１７年（受）３６４号:建築物撤去等請求事件
新国立劇場運営財団事件,最高三小判,平成23.4.12,2,10,0,,平成２１年（行ヒ）２２６号／平成２１年（行ヒ）２２７号:不当労働行為救済命令取消請求 | 平成２１年（行ヒ）４７３号:不当労働行為救済命令取消請求
共同相続人間における遺産確認の訴えと固有必要的共同訴訟,最高三小判,平成1.3.28,7,8,0,,昭和５８年（オ）２１６号:土地所有権移転登記手続請求事 | 昭和５９年（行ツ）３４２号:契約履行請求事件 | 昭和６０年（オ）７２７号:建物収去土地明渡、遺産確認並 | 昭和６２年（オ）８３９号:離婚等請求事件 | 昭和６２年（行ツ）９号:閲読不許可処分取消等請求事件 | 昭和６３年（オ）５９１号:損害賠償請求事件
国際自動車事件,最高三小判,平成29.2.28,4,4,0,,平成２７年（受）１８７６号:不正競争防止法による差止等請 | 平成２７年（受）１９９８号:賃金請求事件 | 平成２８年（行ヒ）１３５号:審決取消請求事件 | 平成２８年（行ヒ）１３６号:審決取消請求事件
電通事件,最高二小判,平成12.3.24,2,7,0,,平成１０年（オ）２１７号／平成１０年（オ）２１８号:損害賠償請求事件 | 平成８年（オ）２１７７号:損害賠償請求事件
堀越事件,最高二小判,平成24.12.7,2,12,0,,平成２２年（あ）７６２号:国家公務員法違反被告事件 | 平成２２年（あ）９５７号:国家公務員法違反被告事件
59条の2第1項に基づくいわゆる総合設計許可の取消訴訟,最高三小判,平成14.1.22,8,17,0,,平成１０年（オ）２８２号:損害賠償請求、共同訴訟参加上 | 平成１０年（オ）５１２号:商品代金請求事件 | 平成１１年（受）１２４４号:配当異議事件 | 平成１１年（受）７６８号: | 平成１２年（あ）１６０６号:破産法違反被告事件 | 平成１２年（受）１０８４号:墓石設置妨害排除請求事件
野村證券損失補填株主代表訴訟,最高二小判,平成12.7.7,5,17,0,,平成１０年（行ツ）１２８号:損害賠償請求事件 | 平成１１年（オ）６５８号:損害賠償請求事件 | 平成８年（オ）２７０号:取締役損失補填責任追及請求及 | 平成９年（オ）１８５３号:遺留分減殺請求事件 | 平成９年（オ）１８５４号:詐害行為取消請求事件
金銭債権の数量的一部請求訴訟,最高二小判,平成10.6.12,5,9,0,,平成５年（オ）７０８号:損害賠償請求事件 | 平成７年（オ）２２３０号:損害賠償請求事件 | 平成８年（オ）１３０７号:供託金還付請求権確認請求本訴 | 平成８年（オ）７３６号:損害賠償等請求事件 | 平成９年（オ）８４９号:報酬金等請求事件
国労広島地本事件,最高三小判,昭和50.11.28,15,7,0,,昭和４５年（オ）２９７号:損害賠償請求上告事件 | 昭和４６年（行ツ）６６号:審決取消請求上告事件 | 昭和４７年（オ）６１５号:配当異議上告事件 | 昭和４８年（オ）２９３号:損害賠償請求事件 | 昭和４８年（オ）４９８号:組合費請求上告事件 | 昭和４８年（オ）４９９号:組合費請求上告事件
朝日放送事件,最高三小判,平成7.2.28,3,5,0,,平成３年（あ）１０４８号:窃盗被告事件 | 平成５年（行ツ）１６３号:選挙人名簿不登録処分に対する | 平成５年（行ツ）１７号:不当労働行為救済命令取消請求
川崎民商事件,,昭和47.11.22,5,4,0,,昭和４４年（あ）７３４号:所得税法違反被告事件 | 昭和４５年（あ）２３号:小売商業調整特別措置法違反被 | 昭和４７年（う）３８５号:横領被告事件 | 昭和４７年（ネ）５５４号／昭和４７年（ネ）１１６４号:所有権移転登記等請求控訴事件 | 昭和４７年（ヨ）９４２号:講習会等開催禁止仮処分申請事
固有必要的共同訴訟,最高三小判,平成22.3.16,9,7,0,,平成２０年（オ）９９９号:遺言無効確認等請求事件 | 平成２０年（受）１２０２号:破産債権査定異議事件 | 平成２０年（受）１４５９号:破産債権査定異議事件 | 平成２１年（オ）１７７３号／平成２１年（受）２１０９号:損害賠償請求事件 | 平成２１年（受）１１５４号:退職慰労金等請求事件 | 平成２１年（受）１５１２号:損害賠償請求控訴事件
メトロコマース事件,最高三小判,令和2.10.13,3,5,0,,令和１年（受）１０５５号／令和１年（受）１０５６号:地位確認等請求事件 | 令和１年（受）１１９０号／令和１年（受）１１９１号:損害賠償等請求事件 | 令和２年（行ヒ）１１１号:損害賠償等請求事件
東亜ペイント事件,最高二小判,昭和61.7.14,5,2,0,,昭和５９年（オ）１３１８号:従業員地位確認等請求事件 | 昭和５９年（オ）１４２号:配当異議事件 | 昭和６０年（行ツ）１７０号:不当労働行為救済命令取消請求 | 昭和６０年（行ツ）１７１号:解雇無効確認等請求上告事件 | 昭和６０年（行ツ）１８８号:
抵当権に基づき物上代位権を行使する者が債権差押事件,最高一小判,平成13.10.25,6,10,0,,平成１１年（オ）８５３号／平成１１年（オ）８５４号:損害賠償請求上告事件 | 平成１２年（受）７９８号:出版差止等請求事件 | 平成１３年（受）９１号:配当異議事件 | 平成１３年（行ツ）１７８号／平成１３年（行ヒ）１６９号:金銭信託に基づく満期元本金等 | 平成７年（オ）１４５３号:損害賠償請求事件 | 平成９年（オ）５９３号:
日本に居住する日本人のドイツに居住するドイツ人に対する離婚請求訴訟,最高二小判,平成8.6.24,2,7,0,,平成５年（オ）７６４号:離婚等請求事件 | 平成７年（オ）８２３号:損害賠償請求事件
日本ケミカル事件,最高一小判,平成30.7.19,4,6,0,,平成２８年（受）５６３号:損害賠償請求事件 | 平成２９年（オ）１１７１号／平成２９年（受）１４５４号:損害賠償請求事件 | 平成２９年（受）８４２号:未払賃金請求事件 | 平成３０年（受）７５３号:検索結果削除請求事件
関西電力事件,最高一小判,昭和58.9.8,2,5,0,,昭和５３年（オ）１１４４号:譴責処分無効確認請求、同附帯 | 昭和５６年（オ）１１９６号:保険金支払等請求上告事件
日本ヒューレット・パッカード事件,最高二小判,平成24.4.27,3,4,0,,平成２１年（受）１９２３号:保険金請求事件 | 平成２２年（行ヒ）４６号:不当労働行為救済命令取消請求 | 平成２３年（受）９０３号:地位確認等請求事件
神戸弘陵学園事件,最高三小判,平成2.6.5,6,2,0,,平成１年（オ）７号:損害賠償請求事件 | 平成１年（オ）８５４号:地位確認等請求事件 | 平成２年（オ）１８４号:審決取消請求事件 | 平成２年（オ）２２０号:損害賠償請求事件 | 平成２年（行ツ）３７号:運転免許停止処分取消 | 昭和６３年（オ）３５７号:所有権移転請求権保全仮登記抹
ルンバール事件,最高二小判,昭和50.10.24,6,7,0,,昭和４７年（あ）１４０１号:昭和２３年大阪市条例第７７号 | 昭和４７年（オ）６４５号:損害賠償代位請求、損害賠償請 | 昭和４８年（オ）５１７号:損害賠償請求上告事件 | 昭和４９年（オ）５２７号:建物収去土地明渡請求上告事件 | 昭和５０年（オ）４８６号:建物明渡請求事件 | 昭和５０年（オ）７３７号:預金支払請求同参加
空知太神社事件,,平成22.1.20,16,7,0,,平成１７年（ワ）１４１号:損害賠償等請求事件（３６９８ | 平成１９年（行ツ）２６０号:財産管理を怠る事実の違法確認 | 平成１９年（行ツ）３３４号:財産管理を怠る事実の違法確認 | 平成２０年（ネ）５１０４号:建物明渡請求控訴事件 | 平成２０年（ワ）１５８２号:損害賠償請求事件 | 平成２１年（ネ）１６４２号:親子関係不存在確認請求控訴事
ノース・ウエスト航空事件,最高二小判,昭和62.7.17,5,6,0,,昭和５７年（オ）１１８９号:賃金請求事件 | 昭和５７年（オ）１１９０号:賃金請求事件 | 昭和５８年（オ）１２７２号:預金支払請求事件 | 昭和６０年（オ）７２６号:離婚請求事件 | 昭和６２年（オ）４４４号:建物の区分所有等に関する法律
大和銀行事件,最高一小判,昭和57.10.7,3,6,0,,昭和５２年（オ）５００号:原状回復等請求上告事件 | 昭和５６年（オ）６６１号:未払賃金請求事件 | 昭和５７年（あ）８０４号:公職選挙法違反
訴訟上の相殺の抗弁に対し訴訟,最高一小判,平成10.4.30,5,5,0,,平成１０年（オ）４２６号:雇用関係存続確認等請求事件 | 平成５年（オ）７８９号:貸金請求事件 | 平成６年（オ）７９９号:損害賠償請求事件 | 平成８年（行ツ）１００号:土地所有権確認請求上告事件 | 平成８年（行ツ）１７５号:損害賠償請求事件
資生堂東京販売事件,最高三小判,平成10.12.18,10,9,0,,平成１０年（オ）１１号:預金返還請求、当事者参加事件 | 平成１０年（オ）３８８号:審決取消請求事件 | 平成１０年（行ツ）７２号:文書提出命令申立却下決定に対 | 平成１０年（許）４号:債権差押命令及び転付命令に対 | 平成６年（オ）２４１５号:地位確認等請求事件 | 平成６年（行ツ）１３６号:接見不許可処分取消、損害賠償
ブラウン管カルテル事件,最高三小判,平成29.12.12,6,8,0,,平成２８年（行ツ）２６５号／平成２８年（行ヒ）３１０号:審決取消請求事件 | 平成２８年（行ヒ）２３３号:審決取消請求事件 | 平成２８年（行ヒ）３６４号:審決取消請求事件 | 平成２８年（許）４３号:仲裁判断取消申立て棄却決定に | 平成２９年（受）１８０８号:損害賠償請求事件 | 平成２９年（行ヒ）１００号:損害賠償（住民訴訟）請求事件
岐阜県青少年保護育成条例事件,最高三小判,平成1.9.19,5,6,0,,昭和５８年（オ）１４１３号:建物収去等請求事件 | 昭和５９年（オ）１１２９号:新聞広告掲載に伴う損害賠償請 | 昭和５９年（オ）１９９号:土地所有権移転登記抹消登記手 | 昭和６２年（あ）１４６２号:岐阜県青少年保護育成条例違反 | 昭和６２年（オ）３０号:株主総会決議無効確認請求事件
大成観光事件,最高三小判,昭和57.4.13,3,4,0,,昭和５２年（行ツ）１２２号:不当労働行為救済命令取消請求 | 昭和５６年（あ）１８６８号:道路交通法違反 | 昭和５６年（行ツ）１９２号:解雇無効確認請求控訴事件
東朋学園事件,最高一小判,平成15.12.4,2,3,0,,平成１３年（受）１０６６号:損害賠償請求、仮執行の原状回 | 平成５年（行ツ）５０号:事業認定処分取消、特定公共事
水道機工事件,最高一小判,昭和60.3.7,2,3,0,,昭和５５年（オ）３９号:賃金支払請求上告事件 | 昭和５７年（オ）１３８３号:株式名義書換請求上告事件
アパマンショップ株主代表訴訟,最高一小判,平成22.7.15,2,11,0,,平成２１年（受）１８３号:損害賠償請求事件 | 平成２２年（オ）８５４号／平成２２年（受）１０５７号:管理規約無効確認請求事件
じん肺管理区分が管理1に該当する旨の決定を受けた常時粉じん作業に従事する労働者等が管理4に該当するとして提起した当該決定の取消訴訟,最高一小判,平成29.4.6,2,14,0,,平成２７年（行ヒ）３４９号:じん肺管理区分決定処分取消等 | 平成２８年（受）５７９号:預金返還等請求事件
サンケイ新聞事件,最高二小判,昭和62.4.24,2,5,0,,昭和５５年（オ）１１８８号:反論文掲載請求事件 | 昭和６１年（オ）１４９９号:損害賠償請求事件
八千代交通事件,最高一小判,平成25.6.6,4,5,0,,平成２３年（受）２１８３号:年次有給休暇請求権存在確認等 | 平成２４年（オ）１６６９号／平成２４年（受）２０６６号:債務不存在確認、損害賠償請求 | 平成２４年（オ）１６７０号／平成２４年（受）２０６７号:債務不存在確認、損害賠償請求 | 平成２４年（受）３４９号:未収金請求事件
女子若年定年制事件,最高三小判,昭和56.3.24,4,5,0,,昭和５３年（オ）２０３号:請求異議上告事件 | 昭和５３年（オ）８８０号:保険金請求上告事件 | 昭和５４年（オ）７５０号:雇傭関係存続確認等請求上告事 | 昭和５４年（オ）７９９号:請求異議事件
群馬司法書士会訴訟,最高一小判,平成14.4.25,4,5,0,,平成１１年（受）７４３号:債務不存在確認請求事件 | 平成１２年（受）１４３８号:取立金請求事件 | 平成１３年（受）８９８号:著作権侵害差止請求権不存在確 | 平成１３年（受）９５２号:著作権侵害行為差止請求事件
サラリーマン税金訴訟,,昭和60.3.27,23,3,0,,昭和５０年（ネ）９９２号:雇用関係存在確認等、損害賠償 | 昭和５０年（ワ）８１号:損害賠償請求事件 | 昭和５１年（ワ）１１５７４号／昭和５２年（ワ）６４４８号:懲戒処分無効確認等請求事件 | 昭和５２年（ワ）２２５号:損害賠償請求事件 | 昭和５２年（ワ）４０７号:更生担保権確定請求事件 | 昭和５５年（行ケ）３００号:
国際自動車事件,最高一小判,令和2.3.30,3,3,0,,令和１年（受）１９２２号:破産手続開始申立棄却決定に対 | 平成３０年（受）７６１号:賃金支払請求事件 | 平成３０年（受）９０８号:賃金請求事件
泉南アスベスト事件,最高一小判,平成26.10.9,3,13,0,,平成２３年（受）２４５５号:損害賠償請求事件 | 平成２５年（受）２６４２号:通行権確認等請求事件 | 平成２６年（受）７７１号:損害賠償請求事件
オウブンシャホールディング事件,最高三小判,平成18.1.24,3,9,0,,平成１５年（受）１６５３号:生命保険証券及び傷害保険証券 | 平成１６年（受）４２４号:不当利得返還請求事件 | 平成１７年（受）５４１号:損害賠償請求事件
泉佐野市民会館事件,最高三小判,平成7.3.7,4,8,0,,平成１年（オ）７６２号:損害賠償請求事件 | 平成３年（オ）２５２号:相続財産の範囲確認請求事件 | 平成６年（オ）１７２８号:境界確定請求事件 | 平成６年（行ツ）８３号:審決取消請求上告事件
パチンコ店等建築規制条例と民事訴訟,最高三小判,平成14.7.9,4,7,0,,平成１０年（行ツ）２３９号:建築工事続行禁止請求事件 | 平成１１年（行ツ）７７号:大分県に代位して行う損害賠償 | 平成１３年（受）１７２５号:損害賠償請求事件 | 平成１４年（オ）１１号／平成１４年（受）７号:損害賠償請求事件
医療法人社団康心会事件,最高二小判,平成29.7.7,3,5,0,,平成２８年（受）２２２号:地位確認等請求事件 | 平成２８年（受）２３５３号:特許権侵害差止請求事件 | 平成２９年（行ツ）１７１号／平成２９年（行ヒ）１９７号:給与等請求事件
大曲市農協事件,最高三小判,昭和63.2.16,3,5,0,,昭和５８年（オ）１３１１号:謝罪広告等請求事件 | 昭和６０年（オ）１０４号:退職金請求事件 | 昭和６１年（オ）８５７号:賃貸借契約解除請求事件
少年保護事件,最高二小判,令和2.10.9,3,3,0,,令和１年（受）８７７号／令和１年（受）８７８号:損害賠償請求事件 | 令和２年（オ）９００号／令和２年（受）１１３１号:損害賠償請求事件 | 平成３０年（受）２０３２号:株主総会において取締役選任議
チャタレイ事件,,昭和32.3.13,3,2,0,,昭和２８年（あ）１７１３号:猥褻文書販売被告事件 | 昭和３０年（ワ）２２８号:慰藉料等請求事件 | 昭和３１年（ラ）２４号:準禁治産宣告取消申立事件の却
解剖に関して作成した鑑定書等及び当該解剖に関して医師が受領した鑑定嘱託書その他外部の関係先から受領した資料並びにこれらの写しの刑事事件,最高三小決,令和2.3.24,5,10,0,,令和１年（受）１９８３号:不正競争行為差止請求事件 | 令和１年（許）１１号:文書提出命令等に対する許可抗 | 令和１年（許）１２号:文書提出命令に対する許可抗告 | 令和２年（行ツ）４８号:不当労働行為救済命令取消請求 | 平成３０年（受）３８８号:損害賠償請求事件
訴訟上の和解が成立したことによって訴訟,最高一小判,平成27.11.30,2,8,0,,平成２６年（受）２１４６号:建物明渡請求事件
長良川事件報道訴訟,最高二小判,平成15.3.14,4,7,0,,平成１１年（行ツ）１１５号／平成１１年（行ヒ）７０号:審決取消請求事件 | 平成１２年（受）１３３５号:損害賠償請求事件 | 平成１３年（受）７５１号:求償金請求事件 | 平成１４年（許）３２号:担保取消申立て却下決定に対す
中断した訴訟,最高一小判,昭和59.5.17,2,6,0,,昭和５８年（オ）３３３号:建物収去土地明渡請求事件 | 昭和５８年（行ツ）１１５号:東京都議会議員選挙無効請求上
共有に属する要役地のために地役権設定登記手続を求める訴えと固有必要的共同訴訟,最高三小判,平成7.7.18,5,6,0,,平成３年（オ）１６８４号:土地所有権移転登記手続請求本 | 平成３年（オ）９０６号:取立訴訟事件 | 平成４年（オ）１２６０号:檀徒の地位確認請求事件 | 平成４年（行ツ）６１号:審決取消請求事件 | 平成６年（オ）２４７０号:境界確定等請求事件
埼玉県教組事件,最高三小判,平成2.4.17,8,6,0,,平成１年（オ）１１４９号:審決取消請求事件 | 平成１年（オ）６５号:株主名簿閲覧謄写請求事件 | 平成１年（行ツ）１５６号:特許権侵害差止等請求事件 | 平成１年（行ツ）１７０号:審決取消請求事件 | 昭和６０年（オ）１５２９号:地位確認等請求事件 | 昭和６１年（オ）８００号:損害賠償請求事件
船橋市西図書館事件,最高一小判,平成17.7.14,7,6,0,,平成１５年（受）１２８４号:損害賠償請求事件 | 平成１６年（オ）１６５３号／平成１６年（受）１７９９号:売掛代金請求事件 | 平成１６年（受）９３０号:損害賠償請求事件 | 平成１６年（行ヒ）４号:審決取消請求事件 | 平成１６年（行ヒ）４１号:損害賠償請求事件 | 平成１７年（受）６６６号:損害賠償請求事件
