issue,key,detail,recommend,sample
DUP_HANREI_ID,28230458,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150129|h26(ワ)7213
DUP_HANREI_ID,29015582,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151209|h26(行ウ)519
DUP_HANREI_ID,28234170,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151113|h27(ワ)27
DUP_HANREI_ID,28242584,判例ID重複x2,二重登録→1行に統合(同一判決か確認),静岡地|20150417|h21(ワ)1809
DUP_HANREI_ID,28233816,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋地|20150203|h25(ワ)692
DUP_HANREI_ID,28241642,判例ID重複x2,二重登録→1行に統合(同一判決か確認),津地|20150702|h27(レ)1
DUP_HANREI_ID,28234074,判例ID重複x2,二重登録→1行に統合(同一判決か確認),京都地|20150515|h25(ワ)3912h26(ワ)1725
DUP_HANREI_ID,28242694,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150331|h23(ワ)9716h23(ワ)5746h24(ワ)1170
DUP_HANREI_ID,28242266,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20151118|h25(ワ)3197
DUP_HANREI_ID,28232972,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150424|h25(ワ)3690
DUP_HANREI_ID,28253458,判例ID重複x2,二重登録→1行に統合(同一判決か確認),神戸地姫路支|20151202|h27(ワ)424
DUP_HANREI_ID,28232013,判例ID重複x2,二重登録→1行に統合(同一判決か確認),広島地|20150330|h23(ワ)1338
DUP_HANREI_ID,28272240,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福岡地|20150625|h24(ワ)1814
DUP_HANREI_ID,28241650,判例ID重複x2,二重登録→1行に統合(同一判決か確認),さいたま地熊谷支|20150323|h25(ワ)364
DUP_HANREI_ID,28250343,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京家|20150916|h26(家ホ)56
DUP_HANREI_ID,28264540,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150903|h25(オ)1869h25(オ)1870h25(受)2282h25(受)2283
DUP_HANREI_ID,28283371,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150226|h26(オ)1020h26(受)1295
DUP_HANREI_ID,28231643,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150416|h26(オ)1114h26(受)1416
DUP_HANREI_ID,28263053,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150910|h26(オ)1134h26(受)1445
DUP_HANREI_ID,28234418,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150722|h26(オ)1192h26(受)1527
DUP_HANREI_ID,28261989,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150205|h26(オ)1342h26(受)1735
DUP_HANREI_ID,28272438,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150917|h26(オ)1414h26(受)1824
DUP_HANREI_ID,28284063,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150416|h26(オ)1429h26(受)1841
DUP_HANREI_ID,28233098,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150807|h24(ワ)5805
DUP_HANREI_ID,28231504,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150304|h25(ヒ)304h25(ヒ)305h25(ヒ)306h25(ヒ)308h25(ヒ)309h25(ヒ)310h25(ヒ)311h25(ヒ)312h25(ヒ)313h25(ヒ)325h25(ヒ)326h25(ヒ)331h25(ヒ)333h25(ヒ)334h25(ヒ)335
DUP_HANREI_ID,28231699,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150428|h25(ワ)14625h25(ワ)22844
DUP_HANREI_ID,29014147,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151028|h25(ワ)24762
DUP_HANREI_ID,28233331,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150213|h25(ワ)30872
DUP_HANREI_ID,28234222,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151014|h26(ワ)33399
DUP_HANREI_ID,28240252,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151126|h26(ワ)9596
DUP_HANREI_ID,28231190,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150309|h26(特わ)438
DUP_HANREI_ID,29014407,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151008|h27(ワ)91
DUP_HANREI_ID,28231556,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋地豊橋支|20150422|h26(ワ)61
DUP_HANREI_ID,28232430,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150508|h23(ワ)15422h24(ワ)2276
DUP_HANREI_ID,28231129,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福岡地小倉支|20150226|h24(ワ)729
DUP_HANREI_ID,28231402,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大分地|20150223|h21(行ウ)3h23(行ウ)5
DUP_HANREI_ID,28242396,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京家|20150617|h26(家)10127
DUP_HANREI_ID,28241144,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京家|20150219|h26(家)10441
DUP_HANREI_ID,28250196,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京家|20150813|h27(家)2612
DUP_HANREI_ID,28243591,判例ID重複x2,二重登録→1行に統合(同一判決か確認),和歌山家|20150930|h27(家)235
DUP_HANREI_ID,28240421,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20151207|h26(あ)1118
DUP_HANREI_ID,28234290,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第3小法廷|20151117|h26(行ヒ)129
DUP_HANREI_ID,28250928,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150527|h26(ネ)2432
DUP_HANREI_ID,28230705,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150128|h26(ネ)4038
DUP_HANREI_ID,28243339,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150128|h26(ネ)4547
DUP_HANREI_ID,28231992,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150513|h26(ネ)5018h26(ネ)6388
DUP_HANREI_ID,28283790,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150701|h26(ネ)5258
DUP_HANREI_ID,28240652,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150521|h26(ネ)6326h27(ネ)1136
DUP_HANREI_ID,28241237,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150527|h27(ネ)273
DUP_HANREI_ID,28231952,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150526|h27(ネ)679
DUP_HANREI_ID,28230465,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150128|h26(行ケ)10068
DUP_HANREI_ID,28233905,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20151105|h27(ネ)10037
DUP_HANREI_ID,28230738,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋高|20150205|h26(ネ)364
DUP_HANREI_ID,28232667,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150227|h26(ネ)2565
DUP_HANREI_ID,28240931,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150710|h26(ネ)3100
DUP_HANREI_ID,28230512,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150122|h26(ネ)668
DUP_HANREI_ID,28240446,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20151210|h27(ネ)1860
DUP_HANREI_ID,28240347,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150908|h27(行コ)89
DUP_HANREI_ID,28231433,判例ID重複x2,二重登録→1行に統合(同一判決か確認),広島高松江支|20150318|h26(ネ)47
DUP_HANREI_ID,28232621,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福岡高|20150619|h26(ネ)426
DUP_HANREI_ID,28240434,判例ID重複x2,二重登録→1行に統合(同一判決か確認),札幌地|20150306|h24(行ウ)35
DUP_HANREI_ID,28230871,判例ID重複x2,二重登録→1行に統合(同一判決か確認),仙台地|20150114|h24(ワ)1350h24(ワ)1465
DUP_HANREI_ID,28231672,判例ID重複x2,二重登録→1行に統合(同一判決か確認),千葉地|20150421|h26(行ウ)8
DUP_HANREI_ID,28232482,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150528|h23(ワ)21209
DUP_HANREI_ID,28250934,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150130|h23(ワ)21682
DUP_HANREI_ID,29015703,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151221|h24(ワ)35308
DUP_HANREI_ID,28232658,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150327|h25(ワ)13802
DUP_HANREI_ID,28233417,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150701|h25(ワ)1507
DUP_HANREI_ID,28240798,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150625|h25(ワ)21982
DUP_HANREI_ID,28233166,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150313|h25(ワ)29469
DUP_HANREI_ID,28231996,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150227|h25(ワ)6497
DUP_HANREI_ID,28234181,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150116|h25(ワ)9392
DUP_HANREI_ID,29013412,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150828|h25(行ウ)237h25(行ウ)462h26(行ウ)285
DUP_HANREI_ID,28234525,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20151217|h27(行フ)1
DUP_HANREI_ID,28230537,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150126|h26(ネ)1946
DUP_HANREI_ID,28230769,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福岡高|20150129|h26(ネ)692
DUP_HANREI_ID,28234273,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150619|h25(行コ)211
DUP_HANREI_ID,28230174,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150115|h26(行ツ)103h26(行ヒ)108
DUP_HANREI_ID,28231945,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150312|h26(ネ)3215
DUP_HANREI_ID,28231047,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋高|20150226|h25(ネ)957
DUP_HANREI_ID,28233396,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20151008|h26(行ヒ)167
DUP_HANREI_ID,28232629,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第2小法廷|20150603|h26(許)37
DUP_HANREI_ID,28234207,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20151126|h26(行ケ)10234
DUP_HANREI_ID,28230883,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋高|20150129|h26(ネ)842
DUP_HANREI_ID,28230371,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150107|h26(行ス)29
DUP_HANREI_ID,28234219,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151002|h26(ワ)6956
DUP_HANREI_ID,28233820,判例ID重複x2,二重登録→1行に統合(同一判決か確認),長野地伊那支|20151028|h26(ワ)13h26(ワ)47
DUP_HANREI_ID,28242697,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大津地彦根支|20150916|h27(ワ)163
DUP_HANREI_ID,28241691,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150127|h26(わ)124h26(わ)324h26(わ)1317h26(わ)1422h26(わ)2945h26(わ)3165h26(わ)3741
DUP_HANREI_ID,28241263,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20151218|h26(ワ)9641
DUP_HANREI_ID,28233335,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第1小法廷|20150305|h25(受)1344
DUP_HANREI_ID,28231731,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150513|h26(行ケ)10170h26(行ケ)10171h26(行ケ)10172h26(行ケ)10173h26(行ケ)10174
DUP_HANREI_ID,28232155,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150610|h26(行コ)10004h26(行コ)10005
DUP_HANREI_ID,28231335,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150213|h23(ワ)15819h25(ワ)976
DUP_HANREI_ID,28233576,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150924|h25(ワ)1074
DUP_HANREI_ID,28231753,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150414|h26(ネ)1619
DUP_HANREI_ID,28242265,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20151203|h27(ネ)4016
DUP_HANREI_ID,28233623,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20151013|h27(行コ)2
DUP_HANREI_ID,28230892,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150218|h25(ワ)21383
DUP_HANREI_ID,28230480,判例ID重複x2,二重登録→1行に統合(同一判決か確認),京都地|20150121|h26(ワ)116
DUP_HANREI_ID,28232124,判例ID重複x2,二重登録→1行に統合(同一判決か確認),神戸地尼崎支|20150206|h25(ワ)303
DUP_HANREI_ID,28240786,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150709|h26(ネ)6249
DUP_HANREI_ID,28260388,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20151125|h27(ネ)2461
DUP_HANREI_ID,28244013,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150924|h27(ネ)282
DUP_HANREI_ID,28231334,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150305|h27(ラ)355
DUP_HANREI_ID,28242867,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20151119|h25(ネ)10051
DUP_HANREI_ID,28232325,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150624|h27(ネ)10002
DUP_HANREI_ID,28233906,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20151112|h27(ネ)10048h27(ネ)10088
DUP_HANREI_ID,28241659,判例ID重複x2,二重登録→1行に統合(同一判決か確認),名古屋高|20151112|h27(行コ)20
DUP_HANREI_ID,28242692,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20151211|h27(ネ)1538
DUP_HANREI_ID,28241138,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20151015|h27(行コ)4h27(行コ)62
DUP_HANREI_ID,28232656,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150128|h24(ワ)35587
DUP_HANREI_ID,28233677,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150319|h25(ワ)17794
DUP_HANREI_ID,28233444,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150721|h25(ワ)23596
DUP_HANREI_ID,29015330,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151105|h26(ワ)13748
DUP_HANREI_ID,28231874,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150428|h26(ワ)5011
DUP_HANREI_ID,28233904,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151029|h27(ワ)1025
DUP_HANREI_ID,28230611,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150128|h23(ワ)8408
DUP_HANREI_ID,28241029,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20151130|h25(ワ)7442
DUP_HANREI_ID,28243060,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150324|h26(ネ)4769
DUP_HANREI_ID,28240239,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20151222|h26(ネ)5388
DUP_HANREI_ID,28232288,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150528|h26(行コ)177
DUP_HANREI_ID,28234034,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20151111|h27(ネ)2592
DUP_HANREI_ID,29015979,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151204|h26(ワ)20094
DUP_HANREI_ID,28240251,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151112|h26(ワ)20312
DUP_HANREI_ID,28234223,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151026|h26(行ウ)595
DUP_HANREI_ID,28241278,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150818|h27(特わ)572
DUP_HANREI_ID,28234616,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福井地|20151224|h27(モ)38
DUP_HANREI_ID,28242157,判例ID重複x2,二重登録→1行に統合(同一判決か確認),甲府地|20151006|h25(ワ)381
DUP_HANREI_ID,28233548,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150916|h24(ワ)5418
DUP_HANREI_ID,28231567,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150326|h26(ワ)5064
DUP_HANREI_ID,28240448,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20151214|h27(モ)90003
DUP_HANREI_ID,28233567,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪地|20150924|h27(ワ)731
DUP_HANREI_ID,28250366,判例ID重複x2,二重登録→1行に統合(同一判決か確認),鳥取地|20150909|h22(ワ)110
DUP_HANREI_ID,28232689,判例ID重複x2,二重登録→1行に統合(同一判決か確認),山口地|20150708|h24(ワ)212
DUP_HANREI_ID,28240591,判例ID重複x2,二重登録→1行に統合(同一判決か確認),山口地萩支|20150323|h25(ワ)21
DUP_HANREI_ID,28232118,判例ID重複x2,二重登録→1行に統合(同一判決か確認),鹿児島地|20150515|h18(ワ)772
DUP_HANREI_ID,28231706,判例ID重複x2,二重登録→1行に統合(同一判決か確認),鹿児島地|20150422|h26(ヨ)36
DUP_HANREI_ID,28234500,判例ID重複x2,二重登録→1行に統合(同一判決か確認),那覇地沖縄支|20150611|h24(ワ)290h24(ワ)359h25(ワ)65h25(ワ)383
DUP_HANREI_ID,28234032,判例ID重複x2,二重登録→1行に統合(同一判決か確認),さいたま地|20150325|h21(ワ)2203
DUP_HANREI_ID,28242490,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪家|20150313|h26(家)7727
DUP_HANREI_ID,28230672,判例ID重複x2,二重登録→1行に統合(同一判決か確認),最高第2小法廷|20150204|h26(オ)1523h26(受)1955
DUP_HANREI_ID,28240330,判例ID重複x2,二重登録→1行に統合(同一判決か確認),札幌高|20151002|h27(ネ)22
DUP_HANREI_ID,28231675,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150209|h26(ラ)2191
DUP_HANREI_ID,28233760,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150826|h27(ネ)2027
DUP_HANREI_ID,28260273,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150827|h27(ネ)882
DUP_HANREI_ID,28251071,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150911|h27(ラ)1322
DUP_HANREI_ID,28251069,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京高|20150406|h27(ラ)511
DUP_HANREI_ID,28231317,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150325|h25(ネ)10104
DUP_HANREI_ID,28230801,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150225|h26(行ケ)10089
DUP_HANREI_ID,28233134,判例ID重複x2,二重登録→1行に統合(同一判決か確認),知財高|20150826|h26(行ケ)10235
DUP_HANREI_ID,28240794,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150529|h26(ネ)1534
DUP_HANREI_ID,28231610,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150129|h26(ネ)2227
DUP_HANREI_ID,28240021,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150306|h26(ラ)1395
DUP_HANREI_ID,28233234,判例ID重複x2,二重登録→1行に統合(同一判決か確認),大阪高|20150603|h27(ネ)110
DUP_HANREI_ID,28234183,判例ID重複x2,二重登録→1行に統合(同一判決か確認),広島高|20150527|h26(ネ)110
DUP_HANREI_ID,28233329,判例ID重複x2,二重登録→1行に統合(同一判決か確認),福岡高|20150610|h27(ラ)149
DUP_HANREI_ID,28241966,判例ID重複x2,二重登録→1行に統合(同一判決か確認),青森地|20150123|h25(ワ)58
DUP_HANREI_ID,28234182,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150525|h21(ワ)34395
DUP_HANREI_ID,28232296,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150126|h22(ワ)30427h23(ワ)3049
DUP_HANREI_ID,28231537,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150313|h23(ワ)13165
DUP_HANREI_ID,28240028,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150325|h23(ワ)41017h25(ワ)32275
DUP_HANREI_ID,28242788,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150828|h24(ワ)16105
DUP_HANREI_ID,28240924,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150311|h24(ワ)21870
DUP_HANREI_ID,28242155,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150213|h24(ワ)24738
DUP_HANREI_ID,29021653,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150715|h24(ワ)28734
DUP_HANREI_ID,28240625,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150703|h24(ワ)32336h25(ワ)12909
DUP_HANREI_ID,28232827,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150121|h24(ワ)33498h25(ワ)17294
DUP_HANREI_ID,29015973,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151211|h24(行ウ)813
DUP_HANREI_ID,29013300,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150807|h25(ワ)12898
DUP_HANREI_ID,29021836,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150622|h25(ワ)19439
DUP_HANREI_ID,29015902,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151210|h25(ワ)20246
DUP_HANREI_ID,28231528,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150114|h25(ワ)26839
DUP_HANREI_ID,28233810,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150515|h25(ワ)29483
DUP_HANREI_ID,28232912,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150427|h25(ワ)33102
DUP_HANREI_ID,28240459,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150421|h25(ワ)33939
DUP_HANREI_ID,28233736,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150122|h25(行ウ)181
DUP_HANREI_ID,28251554,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151112|h26(ヒ)22h26(ヒ)24
DUP_HANREI_ID,28234190,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150629|h26(ワ)1448
DUP_HANREI_ID,28243515,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151126|h26(ワ)1459
DUP_HANREI_ID,28243982,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150730|h26(ワ)1459
DUP_HANREI_ID,28241124,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150327|h26(ワ)17630
DUP_HANREI_ID,28233535,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150827|h26(ワ)19616
DUP_HANREI_ID,28240349,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150526|h26(ワ)7552h26(ワ)22639
DUP_HANREI_ID,29014360,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20151015|h26(ワ)25665
DUP_HANREI_ID,28261293,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150127|h26(ワ)8305
DUP_HANREI_ID,28230680,判例ID重複x2,二重登録→1行に統合(同一判決か確認),東京地|20150204|h26(特わ)970h26(特わ)1092
