journal_canonical,ndl_status,succession_event,related_ncid
日本労働法学会誌,継続刊行中,succeeds_from:労働法,AN00198991
ケース研究,継続刊行中,,AN00327551
早稲田大学大学院法研論集,継続刊行中,,AN00264633
判例時報,継続刊行中,,AN00326901|AN00326912
同志社法学,継続刊行中,split:同志社論叢,AA12028352|AN00165970
行政判例百選,not_found,,
阪大法学,継続刊行中,,AN00206353
最高裁判所判例解説――民事篇<平成,not_found,,
北大法学論集,刊行終了,succeeds_from:北海道大学法学会論集(ISSN:0439-3244),AN00227353
法令ニュース,刊行終了,,AN10174140
法律論叢,継続刊行中,succeeds_from:法律及政治,AN00227047
法政研究,継続刊行中,,AN00225744
警察学論集,継続刊行中,,AN00071560
月刊債権管理,not_found,,
研修,不明,,
判例研究,刊行終了,,AN10187200
関西大学法学論集,継続刊行中,,AN00047180
法学(東北大学),継続刊行中,,AN00224402
労働判例百選<第,not_found,,
名城法学,継続刊行中,,AN00239501
龍谷法学,継続刊行中,,AN00251121
日本法学(日本大学),継続刊行中,,AN00197718
租税判例百選<第,not_found,,
法の支配,継続刊行中,,AN00335786
週刊法律新聞,不明,,
民事訴訟法判例百選<第,not_found,,
労働法令通信,継続刊行中,,
産大法学(京都産業大学),継続刊行中,,AN00099344
法学論叢(京都大学),継続刊行中,succeeds_from:京都法學會雑誌,AN0022472X
白門,継続刊行中,succeeds_from:学部国文,AN00353926
税法学,継続刊行中,,AN00129784
広島法学(広島大学),継続刊行中,,AN0021395X
パテント,継続刊行中,,AN00368708
現代法律実務の諸問題<平成,not_found,,
判例セレクト,刊行終了,,AA1115468X
家庭裁判月報,刊行終了,,AN00327427
倒産判例百選<第,not_found,,
神戸学院法学,継続刊行中,,AN00085190
大阪市立大学法学雑誌,刊行終了,succeeded_by:大阪公立大学法学雑誌(ISSN:2758-4879),AN00029724
手形小切手判例百選<第,not_found,,
民事訴訟雑誌,継続刊行中,,AN00236693
東洋法学,継続刊行中,,AN00171033
労働運動,刊行終了,,AN00089409
捜査研究,刊行終了,succeeded_by:捜査研究(ISSN:0286-8490); succeeds_from:捜査研究(ISSN:0286-8490),
福岡大学法学論叢,継続刊行中,,AN00216550
LIBRA,刊行終了,absorbed:東京弁護士会刑弁ニュース; merged:Libra; succeeds_from:東京弁護士会会報,AA1150298X|AN00337158
知財管理,継続刊行中,succeeds_from:特許管理(ISSN:0287-8909),AN10468629
西南学院大学法学論集,継続刊行中,,AN00128974
民事法研究,継続刊行中,,AN00223272|AN00326956
発明,継続刊行中,,AN00354736
南山法学,継続刊行中,,AN00181900
法律科学研究所年報,継続刊行中,,AN10036169
上智法学論集,刊行終了,,AN00115768
北海学園大学法学研究,継続刊行中,,AN00228753
独協法学,継続刊行中,,AN00174199
岡山大学法学会雑誌,継続刊行中,,AN00033040
労働経済旬報,不明,absorbed:労働組合のための統計資料,AN00390740
独禁法審決・判例百選<第,not_found,,
大阪弁護士会,刊行終了,,
会社法判例百選<第,not_found,,
季刊実務民事法,刊行終了,,AN00107985
法学志林(法政大学),継続刊行中,absorbed:法典質疑錄 8巻1号-,AN0022464X
法学政治学論究(慶応義塾大学),継続刊行中,,AN10086101
Law & Technology,継続刊行中,succeeds_from:L & T(ISSN:0916-2593),AN10073700
専修法学論集,継続刊行中,,AN00132789
貿易と関税,継続刊行中,absorbed:貿易実務ダイジェスト(ISSN:1343-5132),AN00224333
地方自治職員研修,刊行終了,,AA11409044|AN00058766|AN10009665
青山法学論集,継続刊行中,,AN00009024
商法(総則・商行為)判例百選<第,not_found,,
警察時報,刊行終了,absorbed:警窓 11巻6号-,
家族法判例百選<第,not_found,,
最高裁判所判例解説――民事篇<昭和,not_found,,
亜細亜法学,継続刊行中,,AN00011398
月刊消費者,刊行終了,,AN0023193X
判例セレクト’,継続刊行中,succeeds_from:法学教室. 第2期,AA11476008|AN00092130|AN10064470
コピライト,継続刊行中,,AN00327675
新聞研究,継続刊行中,,AN0012302X
TKC税研情報,継続刊行中,,AN10580356
慶応法学,継続刊行中,,AA1203413X
論究ジュリスト,刊行終了,,AA12567186
医療判例解説,継続刊行中,,
法政理論,継続刊行中,split:新潟大学法経論集,AN00226270
島大法学,継続刊行中,,AN00107522
愛知大学法学部法経論集,継続刊行中,succeeds_from:愛知大学法経論集. 法律編,AN10128722
経営法務,刊行終了,,AN00041173
社会保障判例百選<第,not_found,,
愛知学院大学論叢(法学研究),継続刊行中,split:愛知学院大学論叢(ISSN:0285-886X),AN00006569
一橋法学,刊行終了,,AA1161370X
神戸法学雑誌(神戸大学),継続刊行中,,AN00086284
大学院研究年報(法学研究科篇)(中央大学),not_found,,
公法研究,刊行終了,,AN00258448
宗教法,継続刊行中,,AN00107125
日本労働協会雑誌,刊行終了,succeeded_by:日本労働研究雑誌,AN0019897X
香川法学,継続刊行中,,AN00064452
東京大学大学院法学政治学研究科専修コース研究年報,刊行終了,,AN10438537
創価法学,刊行終了,,AN0013392X
金沢法学,継続刊行中,absorbed:金沢大学法文学部論集. 法学編,AN00044830
家庭の法と裁判,継続刊行中,,AA12710814
千葉大学法学論集,継続刊行中,split:千葉大学法経研究(ISSN:0386-2100),AN10005460
熊本法学,継続刊行中,,AN00066957
法学研究論集(明治大学),刊行終了,succeeds_from:明治大学大学院紀要. 法学篇,AN10475872
日本の科学者,継続刊行中,"absorbed:日本科学者つうしん Vol.18, no.1-",AN00196238
修道法学(広島修道大学),継続刊行中,,AN00112544
国際私法判例百選<第,not_found,,
立教法学,継続刊行中,,AN00249130
日税研論集,継続刊行中,,AN10032022
成蹊法学,継続刊行中,,AN00126822
日本不動産学会誌,継続刊行中,,AN10028750|AN10499305
交通事故判例百選<第,not_found,,
白鴎法学,継続刊行中,,AN10443264
神奈川法学,継続刊行中,,AN00043725
民事執行・保全判例百選<第,not_found,,
琉大法学,継続刊行中,,AN00251267
法政論集,継続刊行中,,AN00180624
佐賀大学経済論集,継続刊行中,,AN00096652
大阪経大論集,継続刊行中,,AN00028448
成城法学,継続刊行中,,AN00127574
民事訴訟法判例百選,not_found,,
一橋論叢,刊行終了,,AN00208224
近畿大学法学,継続刊行中,succeeds_from:近大法学,AN10144398
富大経済論集,刊行終了,,AN00218363|AN00408391
中京法学,刊行終了,,AN00144642
刑事弁護,継続刊行中,,
駿河台法学,刊行終了,,AA12762272|AN10009097
日仏法学,継続刊行中,,AN0018440X
都市問題研究,刊行終了,,AN00173221
愛媛法学会雑誌,継続刊行中,,AN00025020
都道府県展望,刊行終了,,AN00093938
立正法学論集,刊行終了,succeeds_from:立正法学(ISSN:0286-4797),AN00249844
官公労働,刊行終了,succeeds_from:官業労働,AN00370415
関東学院法学,継続刊行中,,AN10373169
地方自治判例百選<第,not_found,,
情報法制研究,継続刊行中,,AA12783895
九州法学会会報,継続刊行中,,AA12534165
久留米大学法学,継続刊行中,,AN10021707
横浜国際経済法学,刊行終了,succeeded_by:横浜法学(ISSN:2188-1766),AN10409517
鹿児島大学法学論集,継続刊行中,split:鹿児島大学社会科学報告(ISSN:0389-0112),AN00040793
資料版商事法務,継続刊行中,,AN10065316
企業法学,unknown,,
九大法学,継続刊行中,,AN00055928
司法研修所論集,刊行終了,succeeds_from:司法研修所報,AN00107442
大東法学,継続刊行中,,AN00137239
東京都立大学法学会雑誌,刊行終了,succeeded_by:法学会雑誌,AN00163975
六甲台論集(法学政治学篇)(神戸大学),継続刊行中,split:六甲台論集(ISSN:0286-6404),AN10501473
下級審商事判例評釈(昭和,not_found,,
ローヤー,継続刊行中,,AN10391794
京都学園法学,刊行終了,,AN10150335
国士舘法学,継続刊行中,,AN00089602
日本国際経済法学会年報,継続刊行中,succeeds_from:国際経済法(ISSN:0918-7987),AN1051859X
中央学院大学法学論叢,継続刊行中,,AN10038834
刑事法ジャーナル,継続刊行中,,
九州国際大学法学論集,継続刊行中,,AN10479341
国学院法学,継続刊行中,,AN00087607
明治学院大学法学研究,継続刊行中,split:明治学院論叢(ISSN:0919-1399),AA11963574
札幌学院法学,刊行終了,succeeds_from:札幌商科大学論集. 法律編,AN10048248
ビジネスガイド,刊行終了,,
帝京法学,刊行終了,,AN00149883
東海法学,刊行終了,,AN10058128
消費者法判例百選<第,not_found,,
住民と自治,継続刊行中,,AN00112588
横浜法学,継続刊行中,succeeds_from:横浜国際経済法学(ISSN:0919-9357),AA12637328
法学研究(大阪学院大学),刊行終了,,AN00027886
明治大学法科大学院論集,継続刊行中,,AA12138270
松山大学論集,継続刊行中,succeeds_from:松山商大論集,AN10105261
帝塚山法学,継続刊行中,,AA11245333
月刊民放,刊行終了,succeeded_by:民放(ISSN:2432-9339),
消費者法判例百選(別冊ジュリスト,not_found,,
年報医事法学,継続刊行中,,AN1003137X
下級審商事判例評釈――昭和,not_found,,
民事執行・保全判例百選(別冊ジュリスト,not_found,,
関西大学大学院法学ジャーナル,継続刊行中,,AN00224581
環境法判例百選<第,not_found,,
渉外判例百選<第,not_found,,
流経法学(流通経済大学),刊行終了,,AA11640418
沖縄法学,継続刊行中,,AN00033710
山梨学院大学法学論集,継続刊行中,,AN00244589
彦根論叢,継続刊行中,succeeds_from:彦根経専論叢,AN00207196
甲南法学,継続刊行中,,AN00084766
下級審商事判例評釈(平成,not_found,,
月刊交通,継続刊行中,,AN0007384X
民法研究,刊行終了,,AB00022946|AN10579721
"法学セミナー別冊付録,p",刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
摂南法学,継続刊行中,,AN10066738
商学論集,継続刊行中,,AN00114186
マスコミ市民,刊行終了,,
朝日法学論集,継続刊行中,,AN1002165X
保険法判例百選(別冊ジュリスト,not_found,,
民事執行法判例百選(別冊ジュリスト,not_found,,
信州大学法学論集,刊行終了,merged:信州大学経法論集(ISSN:2432-5376),AA11603783
大阪経済法科大学法学論集,継続刊行中,,AN00224708
清和法学研究,刊行終了,,AN10459581
メディア判例百選(別冊ジュリスト,not_found,,
税経新報,継続刊行中,,
商法判例百選(別冊ジュリスト,not_found,,
月刊高校教育,継続刊行中,,AN00073828
法学雑誌ta^tonnement(タートンヌマン),不明,,AA11124576
著作権判例百選<第,not_found,,
日本大学大学院法学研究年報,継続刊行中,,AN00194720
法学会雑誌(首都大学東京),継続刊行中,succeeds_from:東京都立大学法学会雑誌(ISSN:0386-8745),AA12070417
メディア判例百選<第,not_found,,
供託先例判例百選<第,not_found,,
商法研究,unknown,,
慶応義塾大学大学院法学研究科論文集,継続刊行中,,AN00069591
明治学院大学法科大学院ローレビュー,刊行終了,,AA11966539
国際私法判例百選<新法対応補正版>(別冊ジュリスト,not_found,,
TKC税研時報,not_found,,
国際私法判例百選(別冊ジュリスト,not_found,,
商業登記先例判例百選(別冊ジュリスト,not_found,,
供託先例判例百選(別冊ジュリスト,not_found,,
市政,刊行終了,,AN0017312X
姫路法学(姫路独協大学),継続刊行中,,AN10008582
札幌法学(札幌大学),刊行終了,merged:札幌大学研究紀要(ISSN:2436-5696),AN10152658
金融商品取引法判例百選(別冊ジュリスト,not_found,,
不動産取引判例百選<第,not_found,,
会社法判例百選(別冊ジュリスト,not_found,,
損害保険判例百選<第,not_found,,
Patents & Licensing,刊行終了,,AA11196817
選挙,継続刊行中,,AN00327890
私法学研究(駒沢大学),刊行終了,,AN00107373
三重大学法経論叢,継続刊行中,,AN10036307
広島法科大学院論集,継続刊行中,,AA12028691
商法(保険・海商)判例百選<第,not_found,,
学習院大学法学会雑誌,継続刊行中,succeeds_from:学習院大学法学部研究年報(ISSN:0435-0456),AN10496555
関東学園大学法学紀要,刊行終了,,AN10365138
法学研究所紀要(大阪経済法科大学),刊行終了,,AN00224548
経団連月報,刊行終了,succeeded_by:経済trend; succeeds_from:経団連月報,AN10380492
公証法学,継続刊行中,,AN00082647
東北法学,継続刊行中,,AN00169111
特許管理,刊行終了,succeeded_by:知財管理,AN00094136
弁護士研修講座<平成,not_found,,
青森法政論叢,継続刊行中,,AA11479469
高岡法学,刊行終了,,AN10186489
英米判例百選<第,not_found,,
大阪府立大学経済研究,not_found,,
専修法研論集,継続刊行中,split:経済と法,AN1004923X
志学館法学,継続刊行中,,AA11458163
平成法政研究,継続刊行中,,AA1116847X
桃山法学,継続刊行中,,AA11831915
医事法判例百選<第,not_found,,
Law & Practice,継続刊行中,,AA12201515
人権通信,刊行終了,,AN00335130
福岡大学大学院論集,継続刊行中,,AN00216517
最高裁判所判例解説――刑事篇<平成,not_found,,
日本大学法科大学院法務研究,継続刊行中,,AA12033432
東北学院大学論集,刊行終了,succeeded_by:東北学院法学,AN00167568
明治学院論叢(法学研究),刊行終了,split:人間の発達と教育; split:明學佛文論叢; split:明治学院大学リベラル・アーツ論叢; split:明治学院大学法学研究; split:明治学院大学社会学・社会福祉学研究; split:明治学院大学経済研究; split:明治学院大学英米文学・英語学論叢,AN00091364|AN00238407
静岡大学法経研究,刊行終了,merged:産業と科学; merged:静岡大学人文学部研究報告. 社会科学; split:静岡大学法政研究; split:静岡大学経済研究,AN00103292
日本女性法律家協会会報,継続刊行中,,
神奈川大学法学研究所研究年報,継続刊行中,,AN00076101
法学ガイド,刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
公益法人,不明,succeeds_from:通商産業省関係公益法人便覧,
立教大学大学院法学研究,継続刊行中,,AN00249017
現代法学(東京経済大学),継続刊行中,,AA11515540
税務大学校論叢,継続刊行中,,AN00328113
現代法律実務の諸問題<令和,not_found,,
高崎経済大学論集,刊行終了,,AN00138592
京女法学,継続刊行中,,AA1256312X
公企労研究,刊行終了,,AN00081178
東北学院法学,刊行終了,succeeds_from:東北学院大学論集. 法律学(ISSN:0385-4094),AA12122146
比較法学(早稲田大学),継続刊行中,,AN00206830
用地,刊行終了,,AN0005853X
龍谷大学大学院法学研究,継続刊行中,,AA11489713
部落問題研究,継続刊行中,,AN00220004
社会科学論集,刊行終了,,AN00265013
シュトイエル,刊行終了,,AN00328011
大東文化大学法学研究所報,継続刊行中,,AN10486981
学習院大学大学院法学研究科法学論集,継続刊行中,,AN10417752
沖縄法政研究,継続刊行中,,AA11341574
現代法律実務の諸問題(上)<平成,not_found,,
労働福祉,刊行終了,succeeded_by:ろうさい; succeeds_from:労災,AN00256555
不法行為法(法学セミナー増刊)』所収p,not_found,,
弁護士研修講座――平成,not_found,,
比較憲法学研究,継続刊行中,,
現代判例民法学の課題――森泉章教授還暦記念論集』所収p,not_found,,
商標・意匠・不正競争判例百選(別冊ジュリスト,not_found,,
最高裁判所判例解説――民事篇<令和,not_found,,
拓殖大学論集,刊行終了,split:拓殖大学論集. 人文・自然科学; split:拓殖大学論集. 社会科学; succeeds_from:紅陵大学論集,AN00139110
商標・意匠・不正競争判例百選<第,not_found,,
名経法学,刊行終了,,AN1044399X
大学と学生,刊行終了,succeeds_from:厚生補導,AN00382425
宮崎産業経営大学法学論集,継続刊行中,split:宮崎産業経営大学社会科学論叢,AN10067322
現代判例民法学の理論と展望――森泉章先生古稀祝賀論集』所収p,not_found,,
InfoCom REVIEW,継続刊行中,,AN10468039
法政法科大学院紀要,継続刊行中,,
下関市立大学論集,刊行終了,succeeds_from:下関商経論集,AN0010857X
駒沢法学,継続刊行中,,AA11606475
青山社会科学紀要,継続刊行中,,AN00008972
岡山商科大学法学論叢,継続刊行中,,AN10436167
武蔵大学論集,刊行終了,,AN00237878
白鴎大学大学院法学研究年報,継続刊行中,,AA12048622
最高裁判所判例解説――刑事篇<昭和,not_found,,
学習院法務研究,継続刊行中,,AA12459955
下級審商事判例評釈,not_found,,
専修大学法学研究所所報,継続刊行中,,AN10048973
北大法学研究科ジュニア・リサーチ・ジャーナル,刊行終了,succeeded_by:北大法政ジャーナル,AN1046383X
八幡大学論集,刊行終了,,AN0024262X
神戸法学年報(神戸大学),刊行終了,,AN10022696
愛知学院大学法学部同窓会創立,not_found,,
関西大学法科大学院ジャーナル,継続刊行中,,AA12145210
CIPICジャーナル,刊行終了,succeeds_from:知的財産情報センター会報,AA11439114
商事法務,刊行終了,succeeded_by:国際商事法務; succeeds_from:海外商事法務調査会会報,AN00327460
季刊用地,不明,,
法と秩序,刊行終了,,AN00327289
民法の基本判例<第,継続刊行中,succeeds_from:法学教室. 第2期,AA11476008|AN00092130|AN10064470
民法の基本判例(別冊法学教室 基本判例シリーズ,継続刊行中,succeeds_from:法学教室. 第2期,AA11476008|AN00092130|AN10064470
白鴎大学法科大学院紀要,刊行終了,,AA12288309
著作権研究,継続刊行中,,AN0014771X
環境法判例百選(別冊ジュリスト,not_found,,
消費者取引判例百選(別冊ジュリスト,not_found,,
中京大学大学院生法学研究論集,刊行終了,,AN00333317
三重法経,刊行終了,,AN0023444X
法学紀要(日本大学),継続刊行中,,AN00224424
会社法――重要問題と解説<改訂版>(法学演習講座,not_found,,
現代刑事法,刊行終了,,AA11338274
刑事訴訟法判例百選<第,not_found,,
宗教判例百選<第,not_found,,
会社判例百選<第,not_found,,
早稲田大学法務研究論叢,継続刊行中,,AA12756746
西南学院大学大学院法学研究論集,刊行終了,merged:西南学院大学大学院研究論集(ISSN:2189-5481); split:西南学院大学大学院法学・経営学論集(ISSN:0385-6135),AN00311722
法学,刊行終了,,
新倒産判例百選(別冊ジュリスト,not_found,,
基本法学(岩波講座),not_found,,
特許判例百選<第,not_found,,
大東ロージャーナル,刊行終了,,AA12049319
近畿大学法科大学院論集,刊行終了,,AA12017833
建築関係法令の研究,不明,,
法学会雑誌(東京都立大学),刊行終了,succeeded_by:法学会雑誌,AN00163975
秋田法学(ノースアジア大学),刊行終了,merged:総合政策研究(ISSN:2759-3045),AN00010395
高千穂論叢,継続刊行中,,AN00138694
政経論叢,不明,,AN00126902
熊本ロージャーナル,刊行終了,,AA12274982
憲法論叢,刊行終了,,AA12096272|AN10567711
民事手続法学の新たな地平――青山善充先生古稀祝賀論文集』所収p,not_found,,
法経論集,刊行終了,split:愛知経営論集; split:経済論集; succeeds_from:愛知大学法経論集. 経済編,AN00354270
Hitotsubashi Journal of Law and Politics,継続刊行中,split:Annals of the Hitotsubashi Academy,AA00207558
富士大学紀要,継続刊行中,,AN0021808X
徳山大学論叢,刊行終了,,AN00172885
民法学と比較法学の諸相,not_found,,
近大法学,刊行終了,succeeded_by:近畿大学法学; succeeds_from:法学,AN00065375
続現代民法学の基本問題――内山尚三 黒木三郎 石川利夫先生古稀記念』所収p,not_found,,
教育判例百選<第,not_found,,
刑政,継続刊行中,succeeds_from:監獄協会雑誌,AN00281417
東北学院大学法学政治学研究所紀要,刊行終了,,AN10405287
要件事実・事実認定論と基礎法学の新たな展開――伊藤滋夫先生喜寿記念』所収p,not_found,,
下級審商事判例評釈(平成元年-,not_found,,
精神医学,継続刊行中,,AN00253400
公害・環境判例百選(別冊ジュリスト,not_found,,
日本経大論集,刊行終了,succeeds_from:福岡経大論集(ISSN:1883-4280),AA12553862
立命館大学法学部ニューズレター,刊行終了,succeeded_by:RL news letter,
東北法学会会報(東北大学),不明,,
現代民法学の理論と課題――遠藤浩先生傘寿記念』所収p,not_found,,
北九州大学法政論集,刊行終了,succeeded_by:北九州市立大学法政論集,AN00052125
民事法の諸問題,not_found,,
企業法学の論理と体系――永井和之先生古稀記念論文集』所収p,not_found,,
農業法研究,継続刊行中,,AN00201393
保険学保険法学の課題と展望――大谷孝一博士古稀記念』所収p,not_found,,
憲法の基本判例(別冊法学教室 基本判例シリーズ,継続刊行中,succeeds_from:法学教室. 第2期,AA11476008|AN00092130|AN10064470
憲法訴訟(法学セミナー増刊)』所収p,刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
青山法務研究論集,刊行終了,,AA1246155X
民法学の課題と展望――石田喜久夫先生古稀記念』所収p,not_found,,
昭和商法学史――岩崎稜先生追悼論文集』所収p,not_found,,
群馬法専紀要,刊行終了,,AN10023677
専修大学今村法律研究室報,継続刊行中,,AN00132472
神奈川大学大学院法学研究論集,継続刊行中,,AN10066239
日独法学,不明,,AN00166907
民事法学への挑戦と新たな構築――鈴木禄弥先生追悼論集』所収p,not_found,,
法政法学(法政大学),刊行終了,,AN00226259
商法学における論争と省察――服部榮三先生古稀記念』所収p,not_found,,
慶応義塾大学法学部法律学科開設,not_found,,
女性と法(法学セミナー増刊 総合特集シリーズ,刊行終了,succeeded_by:法セミ,AN00224661|AN10333448|AN10334010
演習民事訴訟法(法学教室選書)』所収p,not_found,,
医事法判例百選(別冊ジュリスト,not_found,,
岡山商大論叢,刊行終了,,AN00032820
大阪公立大学法学雑誌,継続刊行中,succeeds_from:大阪市立大学法学雑誌(ISSN:0441-0351),AA12946140
明治大学大学院紀要(法学篇),刊行終了,split:明治大学大学院紀要; succeeded_by:法学研究論集,AN00239013
日弁連研修叢書 現代法律実務の諸問題(上)<昭和,not_found,,
立正大学法制研究所研究年報,刊行終了,,AN10572471
最高裁判所判例解説――民事篇<平成元年度>』所収p,not_found,,
保安と外勤,刊行終了,succeeded_by:地域と保安,
明星大学経済学研究紀要,継続刊行中,,AN00239523
労働法学の展望――菅野和夫先生古稀記念論集』所収p,not_found,,
英米法学(中央大学),継続刊行中,,AN00022984
社会労働研究,刊行終了,succeeded_by:社会志林(ISSN:1344-5952),AN00111224
法学ジャーナル(明治学院大学大学院),not_found,,
第一経大論集,刊行終了,succeeded_by:福岡経大論集,AN00135335
愛媛法学,継続刊行中,,AN00025020
教職研修,not_found,,
日本スポーツ法学会年報,継続刊行中,,AN10468968
現代企業法学の理論と動態(上)(奥島孝康先生古稀記念論文集,not_found,,
法学研究論集(亜細亜大学),継続刊行中,,AN00224570
法学論集(駒沢大学),not_found,,
民事訴訟法学の新たな展開――中村英郎教授古稀祝賀』所収p,not_found,,
労働法学の理論と課題――片岡昇先生還暦記念』所収p,not_found,,
自治研修,刊行終了,succeeded_by:月刊自治フォーラム; succeeds_from:地方研修,AN00335050
中央学院大学社会システム研究所紀要,継続刊行中,,AA11544720
学校経営,継続刊行中,,AA12604883
秋田法学(秋田経済法科大学),刊行終了,merged:総合政策研究(ISSN:2759-3045),AN00010395
茨城大学政経学会雑誌,刊行終了,,AN00016416
大宮ローレビュー,刊行終了,,AA12032123
日本民法学の新たな時代――星野英一先生追悼』所収p,not_found,,
民事法学の歴史と未来――田山輝明先生古稀記念論文集』所収p,not_found,,
民法学の新たな展開 高島平蔵教授古稀記念』所収p,not_found,,
弁護士研修講座――昭和,not_found,,
タイム,不明,,
民法学の現在と近未来』所収p,not_found,,
名城法学論集,継続刊行中,,AN00327722
岐阜経済大学論集,刊行終了,succeeded_by:岐阜協立大学論集(ISSN:2435-0311),AN00052668
駒沢大学法学部研究紀要,継続刊行中,,AN00093778
社会の発展と民法学――近江幸治先生古稀記念論文集(下)』所収p,not_found,,
株式譲渡と株主権行使(慶応義塾大学法学研究会叢書,not_found,,
桐蔭法学(桐蔭横浜大学),継続刊行中,,AN10465802
倒産法学の軌跡と展望――櫻井孝一先生古稀祝賀』所収p,not_found,,
現代民法学の基本問題(下)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,not_found,,
現代法律実務の諸問題(上・下)<昭和,not_found,,
金融判例,刊行終了,,AN10517575
民法学の伝統と新たな構想――宮本健蔵先生古稀記念』所収p,not_found,,
社会の発展と民法学――近江幸治先生古稀記念論文集(上)』所収p,not_found,,
独占禁止法,not_found,,
京都大学法学部創立,not_found,,
補講民法学』所収p,not_found,,
法学協会百周年記念論文集,not_found,,
現代民法学の基本問題(中)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,not_found,,
現代民法学の基本問題(上)――内山尚三・黒木三郎・石川利夫先生還暦記念』所収p,not_found,,
法経論叢,継続刊行中,,AN10036307
北陸法学,刊行終了,,AN10431662
要件事実論と民法学との対話』所収p,not_found,,
現代法律実務の諸問題(下)<平成,not_found,,
青森中央学院大学研究紀要,継続刊行中,,AA11396623
明治大学法科大学院ジェンダー法センター年報,継続刊行中,,AA1291592X
歴史評論,継続刊行中,,AN00255224
日本社会と市民法学――清水誠先生追悼論集』所収p,not_found,,
民法学における法と政策――平井宜雄先生古稀記念』所収p,not_found,,
現代民法学の理論と実務の交錯――高木多喜男先生古稀記念』所収p,not_found,,
現代企業法学の課題と展開』所収p,not_found,,
慶応義塾創立,unknown,,
